country,pointKey,pointLabel,isSingleOperator,pointTpMapX,pointTpMapY,fromSystemLabel,fromInfrastructureTypeLabel,fromCountryKey,fromCountryLabel,fromDirectionKey,fromOperatorKey,fromBzKey,fromPointKey,toSystemLabel,toInfrastructureTypeLabel,toCountryKey,toCountryLabel,toOperatorKey,toOperatorLabel,toBzKey,toPointKey,toPointLabel,validFrom,validto,lastUpdateDateTime,id
RS,ITP-00035,Zvornik,False,16.83,-54.28,Transmission,Transmission,RS,Serbia,exit,RS-TSO-0001,,ITP-00035,Transmission,Transmission,BA,Bosnia Herzegovina,BA-TSO-0001,BH Gas,,ITP-00035,Zvornik,,,Jan  6 2025  3:40AM,4InterconnectionsITP-00035TransmissionRS-TSO-0001ITP-00035exitTransmissionBA-TSO-0001ITP-00035entry
RS,ITP-00529,Kireevo (BG) / Zaychar (RS),False,33.13,-56.97,Transmission,Transmission,RS,Serbia,exit,RS-TSO-0003,,ITP-00529,Bulgaria,Transmission,BG,Bulgaria,BG-TSO-0001,Bulgartransgaz,BG-NGTS----,ITP-00529,Kireevo (BG) / Zaychar (RS),,,Jan  6 2025  3:40AM,4InterconnectionsITP-00529TransmissionRS-TSO-0003ITP-00529exitBulgariaBG-TSO-0001ITP-00529entry
RS,ITP-10013,Kiskundorozsma-2 (HU) / Horgos (RS),False,22.24,-47.07,Transmission,Transmission,RS,Serbia,exit,RS-TSO-0003,,ITP-10013,Hungary,Transmission,HU,Hungary,HU-TSO-0001,FGSZ,HU---------,ITP-10013,Kiskundorozsma 2 (RS>HU),,,Jan  6 2025  3:40AM,4InterconnectionsITP-10013TransmissionRS-TSO-0003ITP-10013exitHungaryHU-TSO-0001ITP-10013entry
RS,UGS-00052,UGS Banatski Dvor (RS),False,20.21,-48.57,Storage,Storage,RS,Serbia,exit,RS-SSO-0001,,UGS-00052,Transmission,Transmission,RS,Serbia,RS-TSO-0001,Srbijagas,,UGS-00052,UGS Banatski Dvor (RS),,,Jan  6 2025  3:40AM,4InterconnectionsUGS-00052StorageRS-SSO-0001UGS-00052exitTransmissionRS-TSO-0001UGS-00052entry
RS,UGS-00052,UGS Banatski Dvor (RS),False,20.21,-48.57,Transmission,Transmission,RS,Serbia,exit,RS-TSO-0001,,UGS-00052,Storage,Storage,RS,Serbia,RS-SSO-0001,Srbijagas (SSO),,UGS-00052,UGS Banatski Dvor (RS),,,Jan  6 2025  3:40AM,4InterconnectionsUGS-00052TransmissionRS-TSO-0001UGS-00052exitStorageRS-SSO-0001UGS-00052entry
RS,ITP-00134,Kalotina (BG)/ Dimitrovgrad (RS),False,35.77,-60.57,Transmission,Transmission,RS,Serbia,exit,RS-TSO-0004,,ITP-00134,Bulgaria,Transmission,BG,Bulgaria,BG-TSO-0001,Bulgartransgaz,BG-NGTS----,ITP-00134,Kalotina (BG)/ Dimitrovgrad (RS),,,Jan  6 2025  3:40AM,4InterconnectionsITP-00134TransmissionRS-TSO-0004ITP-00134exitBulgariaBG-TSO-0001ITP-00134entry
RO,DIS-00058,Distribution (RO),False,47.94,-48.41,RO_NTS,Transmission,RO,Romania,exit,RO-TSO-0001,RO---------,DIS-00058,Distribution,Distribution,RO,Romania,,,,,,,,Jan  6 2025  3:40AM,4InterconnectionsDIS-00058RO_NTSRO-TSO-0001DIS-00058exitDistribution
RO,FNC-00010,Final Consumers (RO),False,48.65,-48.41,RO_NTS,Transmission,RO,Romania,exit,RO-TSO-0001,RO---------,FNC-00010,Final Consumers,Final Consumers,RO,Romania,,,,,,,,Jan  6 2025  3:40AM,4InterconnectionsFNC-00010RO_NTSRO-TSO-0001FNC-00010exitFinal Consumers
RO,ITP-00032,Csanadpalota,False,25.14,-47.02,RO_NTS,Transmission,RO,Romania,exit,RO-TSO-0001,RO---------,ITP-00032,Hungary,Transmission,HU,Hungary,HU-TSO-0001,FGSZ,HU---------,ITP-00032,Csanádpalota (RO>HU),,,Jan  6 2025  3:40AM,4InterconnectionsITP-00032RO_NTSRO-TSO-0001ITP-00032exitHungaryHU-TSO-0001ITP-00032entry
RO,ITP-00058,Negru Voda I (RO) / Kardam (BG),False,63.5,-57.35,RO_NTS,Transmission,RO,Romania,exit,RO-TSO-0001,RO---------,ITP-00058,Bulgaria,Transmission,BG,Bulgaria,BG-TSO-0001,Bulgartransgaz,BG-NGTS----,ITP-00058,Negru Voda 1 (RO) / Kardam (BG),,,Jan  6 2025  3:40AM,4InterconnectionsITP-00058RO_NTSRO-TSO-0001ITP-00058exitBulgariaBG-TSO-0001ITP-00058entry
