,direction_key,flow_status,id,id_point_type,operator_key,period_from,period_to,period_type,point_key,point_label,tso_eic_code,unit,value
0,entry,Provisional,1Physical Flowday2023-12-012023-12-02FI-TSO-0003LNG-00072entrykWh/d,2.0,FI-TSO-0003,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,LNG-00072,Inkoo LNG (FI),21X000000001393X,kWh/d,58526007.42
1,entry,Provisional,1Physical Flowday2023-12-012023-12-02RO-TSO-0001ITP-00301entrykWh/d,0.0,RO-TSO-0001,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,ITP-00301,Negru Voda II,21X-RO-A-A0A0A-S,kWh/d,0
2,exit,Provisional,1Physical Flowday2023-12-012023-12-02RO-TSO-0001ITP-00301exitkWh/d,0.0,RO-TSO-0001,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,ITP-00301,Negru Voda II,21X-RO-A-A0A0A-S,kWh/d,0
3,entry,Provisional,1Physical Flowday2023-12-012023-12-02RO-TSO-0001ITP-00302entrykWh/d,0.0,RO-TSO-0001,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,ITP-00302,Negru Voda III,21X-RO-A-A0A0A-S,kWh/d,0
4,exit,Provisional,1Physical Flowday2023-12-012023-12-02RO-TSO-0001ITP-00302exitkWh/d,0.0,RO-TSO-0001,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,ITP-00302,Negru Voda III,21X-RO-A-A0A0A-S,kWh/d,0
5,entry,Provisional,1Physical Flowday2023-12-012023-12-02RO-TSO-0001ITP-00299entrykWh/d,1.0,RO-TSO-0001,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,ITP-00299,Isaccea (RO) - Orlovka (UA) II,21X-RO-A-A0A0A-S,kWh/d,0
6,exit,Provisional,1Physical Flowday2023-12-012023-12-02RO-TSO-0001ITP-00299exitkWh/d,1.0,RO-TSO-0001,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,ITP-00299,Isaccea (RO) - Orlovka (UA) II,21X-RO-A-A0A0A-S,kWh/d,0
7,entry,Provisional,1Physical Flowday2023-12-012023-12-02RO-TSO-0001ITP-00300entrykWh/d,1.0,RO-TSO-0001,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,ITP-00300,Isaccea (RO) - Orlovka (UA) III,21X-RO-A-A0A0A-S,kWh/d,0
8,exit,Provisional,1Physical Flowday2023-12-012023-12-02RO-TSO-0001ITP-00300exitkWh/d,1.0,RO-TSO-0001,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,ITP-00300,Isaccea (RO) - Orlovka (UA) III,21X-RO-A-A0A0A-S,kWh/d,0
9,entry,Provisional,1Physical Flowday2023-12-012023-12-02AT-TSO-0003ITP-00040entrykWh/d,0.0,AT-TSO-0003,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,ITP-00040,Tarvisio (IT) / Arnoldstein (AT),21X-AT-C-A0A0A-B,kWh/d,0
10,exit,Provisional,1Physical Flowday2023-12-012023-12-02AT-TSO-0003ITP-00040exitkWh/d,0.0,AT-TSO-0003,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,ITP-00040,Tarvisio (IT) / Arnoldstein (AT),21X-AT-C-A0A0A-B,kWh/d,32081198
11,entry,Provisional,1Physical Flowday2023-12-012023-12-02AT-TSO-0003ITP-00037entrykWh/d,0.0,AT-TSO-0003,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,ITP-00037,Baumgarten (TAG),21X-AT-C-A0A0A-B,kWh/d,145048180
12,exit,Provisional,1Physical Flowday2023-12-012023-12-02AT-TSO-0003ITP-00037exitkWh/d,0.0,AT-TSO-0003,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,ITP-00037,Baumgarten (TAG),21X-AT-C-A0A0A-B,kWh/d,0
13,exit,Confirmed,1Physical Flowday2023-12-012023-12-02SI-TSO-0001DIS-00059exitkWh/d,17.0,SI-TSO-0001,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,DIS-00059,Distribution (SI),21X-SI-A-A0A0A-8,kWh/d,32289822
14,entry,Confirmed,1Physical Flowday2023-12-012023-12-02CZ-TSO-0001ITP-00015entrykWh/d,0.0,CZ-TSO-0001,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,ITP-00015,Hora Svaté Kateřiny (CZ) / Deutschneudorf (Sayda) (DE),21X000000001304L,kWh/d,0
15,exit,Confirmed,1Physical Flowday2023-12-012023-12-02CZ-TSO-0001ITP-00015exitkWh/d,0.0,CZ-TSO-0001,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,ITP-00015,Hora Svaté Kateřiny (CZ) / Deutschneudorf (Sayda) (DE),21X000000001304L,kWh/d,0
16,entry,Confirmed,1Physical Flowday2023-12-012023-12-02CZ-TSO-0001ITP-00123entrykWh/d,0.0,CZ-TSO-0001,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,ITP-00123,Brandov STEGAL (CZ) / Stegal (DE),21X000000001304L,kWh/d,
17,exit,Confirmed,1Physical Flowday2023-12-012023-12-02CZ-TSO-0001ITP-00123exitkWh/d,0.0,CZ-TSO-0001,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,ITP-00123,Brandov STEGAL (CZ) / Stegal (DE),21X000000001304L,kWh/d,0
18,entry,Confirmed,1Physical Flowday2023-12-012023-12-02CZ-TSO-0001ITP-00538entrykWh/d,0.0,CZ-TSO-0001,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,ITP-00538,VIP Waidhaus,21X000000001304L,kWh/d,0
19,exit,Confirmed,1Physical Flowday2023-12-012023-12-02CZ-TSO-0001ITP-00538exitkWh/d,0.0,CZ-TSO-0001,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,ITP-00538,VIP Waidhaus,21X000000001304L,kWh/d,0
20,entry,Confirmed,1Physical Flowday2023-12-012023-12-02CZ-TSO-0001UGS-00004entrykWh/d,6.0,CZ-TSO-0001,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,UGS-00004,UGS innogy (innogy Gas Storage excl. UGS Haje),21X000000001304L,kWh/d,107925994
21,exit,Confirmed,1Physical Flowday2023-12-012023-12-02CZ-TSO-0001UGS-00004exitkWh/d,6.0,CZ-TSO-0001,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,UGS-00004,UGS innogy (innogy Gas Storage excl. UGS Haje),21X000000001304L,kWh/d,0
22,entry,Confirmed,1Physical Flowday2023-12-012023-12-02CZ-TSO-0001ITP-00010entrykWh/d,0.0,CZ-TSO-0001,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,ITP-00010,Brandov-OPAL (DE),21X000000001304L,kWh/d,18345371
23,exit,Confirmed,1Physical Flowday2023-12-012023-12-02CZ-TSO-0001ITP-00010exitkWh/d,0.0,CZ-TSO-0001,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,ITP-00010,Brandov-OPAL (DE),21X000000001304L,kWh/d,
24,entry,Confirmed,1Physical Flowday2023-12-012023-12-02CZ-TSO-0001ITP-00535entrykWh/d,0.0,CZ-TSO-0001,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,ITP-00535,Deutschneudorf EUGAL Brandov ,21X000000001304L,kWh/d,1692170
25,exit,Confirmed,1Physical Flowday2023-12-012023-12-02CZ-TSO-0001ITP-00535exitkWh/d,0.0,CZ-TSO-0001,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,ITP-00535,Deutschneudorf EUGAL Brandov ,21X000000001304L,kWh/d,
26,entry,Confirmed,1Physical Flowday2023-12-012023-12-02CZ-TSO-0001UGS-00003entrykWh/d,6.0,CZ-TSO-0001,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,UGS-00003,UGS MND (MNG Gas Storage),21X000000001304L,kWh/d,99018929
27,exit,Confirmed,1Physical Flowday2023-12-012023-12-02CZ-TSO-0001UGS-00003exitkWh/d,6.0,CZ-TSO-0001,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,UGS-00003,UGS MND (MNG Gas Storage),21X000000001304L,kWh/d,0
28,entry,Confirmed,1Physical Flowday2023-12-012023-12-02CZ-TSO-0001ITP-00158entrykWh/d,0.0,CZ-TSO-0001,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,ITP-00158,Cieszyn (PL) / Český Těšín (CZ),21X000000001304L,kWh/d,
29,exit,Confirmed,1Physical Flowday2023-12-012023-12-02CZ-TSO-0001ITP-00158exitkWh/d,0.0,CZ-TSO-0001,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,ITP-00158,Cieszyn (PL) / Český Těšín (CZ),21X000000001304L,kWh/d,26473530
30,entry,Confirmed,1Physical Flowday2023-12-012023-12-02CZ-TSO-0001ITP-00051entrykWh/d,0.0,CZ-TSO-0001,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,ITP-00051,Lanžhot,21X000000001304L,kWh/d,166086305
31,exit,Confirmed,1Physical Flowday2023-12-012023-12-02CZ-TSO-0001ITP-00051exitkWh/d,0.0,CZ-TSO-0001,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,ITP-00051,Lanžhot,21X000000001304L,kWh/d,0
32,entry,Confirmed,1Physical Flowday2023-12-012023-12-02CZ-TSO-0001ITP-00150entrykWh/d,0.0,CZ-TSO-0001,2023-12-01T06:00:00+01:00,2023-12-02T06:00:00+01:00,day,ITP-00150,Olbernhau (DE) / Hora Svaté Kateřiny (CZ),21X000000001304L,kWh/d,0
