point_key,point_label,operator_key,tso_eic_code,operator_label,direction_key,valid_from,valid_to,has_data,is_virtualized_commercially,virtualized_commercially_since,is_virtualized_operationally,virtualized_operationally_since,is_pipe_in_pipe,related_operators,related_points,pipe_in_pipe_with_tso_key,pipe_in_pipe_with_tso_label,is_double_reporting,double_reporting_with_tso_key,double_reporting_with_tso_label,tso_item_identifier,tp_tso_item_label,tp_tso_valid_from,tp_tso_valid_to,tp_tso_remarks,tp_tso_conversion_factor,tp_rmk_grid_conversion_factor_capacity_default,tp_tso_gcv_min,tp_tso_gcv_max,tp_tso_gcv_remarks,tp_tso_gcv_unit,tp_tso_entry_exit_type,multi_annual_contracts_is_available,multi_annual_contracts_remarks,annual_contracts_is_available,annual_contracts_remarks,half_annual_contracts_is_available,half_annual_contracts_remarks,quarterly_contracts_is_available,quarterly_contracts_remarks,monthly_contracts_is_available,monthly_contracts_remarks,daily_contracts_is_available,daily_contracts_remarks,day_ahead_contracts_is_available,day_ahead_contracts_remarks,available_contracts_remarks,sentence_cmp_unsuccessful,sentence_cmp_unavailable,sentence_cmp_auction,sentence_cmp_made_available,last_update_date_time,is_invalid,is_cam_relevant,is_cmp_relevant,booking_platform_key,booking_platform_label,booking_platform_url,virtual_reverse_flow,virtual_reverse_flow_remark,t_so_country,t_so_balancing_zone,cross_border_point_type,e_u_relationship,connected_operators,adjacent_tso_eic,adjacent_operator_key,adjacent_country,point_type,id_point_type,adjacent_zones,id,data_set,region,adjacent_region,url
ITP-00008,Melendugno - IT / TAP,AL-TSO-0001,21X000000001376X,TAP,entry,,,True,False,,False,,False,,,,,,,,21Z000000000474A,Melendugno ,2020-12-21,2099-12-31,Commercial Operations at Melendugno IP started on 15 November 2020.,1.000000,"TAP markets capacity in KWh/d
",36.840000,47.730000,"Range of TAP GCV as provided in TAP Network Code
",MJ/nm3,,True,"TAP has in place 25  years GTAs and we will offer multiannual contracts through the Market Test procedure. 
",True,"TAP offers annual products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar.
",False,,True,"TAP offers quarterly products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar
",True,"TAP offers monthly products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar.
",True,"TAP offers daily products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar
",False,"TAP currently does not offer WD capacity products.
",,Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.,Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.,Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.,Currently no capacity has been made available on this point through the application of the congestion-management procedures,2024-07-22T06:07:18+02:00,False,True,True,PRISMA,PRISMA,https://platform.prisma-capacity.eu/,Yes,,CH,,Cross-Border EU|Non-EU,within EU,SNAM RETE GAS,21X-IT-A-A0A0A-7,IT-TSO-0001,IT,Cross-Border Transmission IP within EU,0,Italy,5AL-TSO-0001ITP-00008entryIT-TSO-0001,5,Western Europe,Southern Europe,https://transparency.entsog.eu/api/v1/operatorpointdirections?limit=-1&timeZone=UCT
ITP-00008,Melendugno - IT / TAP,AL-TSO-0001,21X000000001376X,TAP,exit,,,True,False,,False,,False,,,,,,,,21Z000000000474A,Melendugno,2020-11-15,2099-12-31,Commercial Operations at Melendugno IP have started on 15 November 2020. Gas flows have commenced on 31 December 2020.,1.000000,"TAP markets capacity in KWh/d
",36.840000,47.730000,"Range of TAP GCV as provided in TAP Network Code
",MJ/nm3,,True,"TAP has in place 25  years GTAs and we will offer multiannual contracts through the Market Test procedure. 
",True,"TAP offers annual products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar.
",False,,True,"TAP offers quarterly products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar
",True,"TAP offers monthly products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar.
",True,"TAP offers daily products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar
",False,"TAP currently does not offer WD capacity products.
",,Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled,Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.,Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.,Currently no capacity has been made available on this point through the application of the congestion-management procedures,2024-07-22T06:07:18+02:00,False,True,True,PRISMA,PRISMA,https://platform.prisma-capacity.eu/,No,,CH,,Cross-Border EU|Non-EU,within EU,SNAM RETE GAS,21X-IT-A-A0A0A-7,IT-TSO-0001,IT,Cross-Border Transmission IP within EU,0,Italy,5AL-TSO-0001ITP-00008exitIT-TSO-0001,5,Western Europe,Southern Europe,https://transparency.entsog.eu/api/v1/operatorpointdirections?limit=-1&timeZone=UCT
ITP-00274,Kipoi,AL-TSO-0001,21X000000001376X,TAP,entry,,,True,False,,False,,False,,,,,,,,21Z0000000004758,Kipoi,2020-11-15,2099-12-31,Commercial operations at Kipoi IP have started on 15 November 2020. Gas flows have commenced on 31 December 2020.,1.000000,"TAP markets capacity in KWh/d
",36.840000,47.730000,"Range of TAP GCV as provided in TAP Network Code
",MJ/nm3,,True,"TAP has in place 25  years GTAs and we will offer multiannual contracts through the Market Test procedure. 
",True,"TAP offers annual products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar.
",False,,True,"TAP offers quarterly products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar
",True,"TAP offers monthly products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar.
",True,"TAP offers daily products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar
",False,"TAP currently does not offer WD capacity products.
",,Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled,Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.,Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.,Currently no capacity has been made available on this point through the application of the congestion-management procedures,2024-07-22T06:07:18+02:00,False,True,True,PRISMA,PRISMA,https://platform.prisma-capacity.eu/,No,,CH,Greece,Cross-Border Non-EU|Non-EU,between EU and Non-EU,TANAP,                ,TR-TSO-0002,TR,Cross-Border Transmission IP between EU and Non-EU (import),1,,5AL-TSO-0001ITP-00274entryTR-TSO-0002,5,Western Europe,Western Asia,https://transparency.entsog.eu/api/v1/operatorpointdirections?limit=-1&timeZone=UCT
ITP-00274,Kipoi,AL-TSO-0001,21X000000001376X,TAP,exit,,,False,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-22T06:07:18+02:00,False,,,,,,No,,CH,Greece,Cross-Border Non-EU|Non-EU,between EU and Non-EU,,,,TR,Cross-Border Transmission IP between EU and Non-EU (import),1,,5AL-TSO-0001ITP-00274exit,5,Western Europe,Western Asia,https://transparency.entsog.eu/api/v1/operatorpointdirections?limit=-1&timeZone=UCT
ITP-00427,Nea Mesimvria,AL-TSO-0001,21X000000001376X,TAP,entry,,,True,False,,False,,False,,,,,,,,21Z000000000473C,Nea Mesimvria,2022-04-14,2099-12-31,Commercial Operations at Nea Mesimvria IP entry direction started on 14 April 2022.,1.000000,"TAP markets capacity in KWh/d
",36.840000,47.730000,"Range of TAP GCV as provided in TAP Network Code
",MJ/nm3,,False,"TAP has in place 25  years GTAs and we will offer multiannual contracts through the Market Test procedure. 
",False,"TAP offers annual products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar.
",False,,False,"TAP offers quarterly products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar
",False,"TAP offers monthly products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar.
",True,"TAP offers daily products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar
",False,"TAP currently does not offer WD capacity products.
",,Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled,Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.,Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.,Currently no capacity has been made available on this point through the application of the congestion-management procedures,2024-07-22T06:07:18+02:00,False,True,True,PRISMA,PRISMA,https://platform.prisma-capacity.eu/,Yes,,CH,Greece,Cross-Border EU|Non-EU,within EU,DESFA S.A.,21X-GR-A-A0A0A-G,GR-TSO-0001,GR,Cross-Border Transmission IP within EU,0,Greece,5AL-TSO-0001ITP-00427entryGR-TSO-0001,5,Western Europe,Southern Europe,https://transparency.entsog.eu/api/v1/operatorpointdirections?limit=-1&timeZone=UCT
ITP-00427,Nea Mesimvria,AL-TSO-0001,21X000000001376X,TAP,exit,,,True,False,,False,,False,,,,,,,,21Z000000000473C,Nea Mesimvria,2020-12-21,2099-12-31,Commercial Operations at Nea Mesimvria IP have started on 21 December 2020. Gas flows have commenced on 31 December 2020.,1.000000,"TAP markets capacity in KWh/d
",36.840000,47.730000,"Range of TAP GCV as provided in TAP Network Code
",MJ/nm3,,True,"TAP has in place 25  years GTAs and we will offer multiannual contracts through the Market Test procedure. 
",True,"TAP offers annual products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar.
",False,,True,"TAP offers quarterly products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar
",True,"TAP offers monthly products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar.
",True,"TAP offers daily products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar
",False,"TAP currently does not offer WD capacity products.
",,Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled,Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.,Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.,Currently no capacity has been made available on this point through the application of the congestion-management procedures,2024-07-22T06:07:18+02:00,False,True,True,PRISMA,PRISMA,https://platform.prisma-capacity.eu/,No,,CH,Greece,Cross-Border EU|Non-EU,within EU,DESFA S.A.,21X-GR-A-A0A0A-G,GR-TSO-0001,GR,Cross-Border Transmission IP within EU,0,Greece,5AL-TSO-0001ITP-00427exitGR-TSO-0001,5,Western Europe,Southern Europe,https://transparency.entsog.eu/api/v1/operatorpointdirections?limit=-1&timeZone=UCT
VTP-00044,TAP Virtual Trading Point ,AL-TSO-0001,21X000000001376X,TAP,entry,,,True,False,,False,,False,,,,,,,,21Z000000000491A,TAP Virtual Trading Point,2020-11-15,2099-12-31,TAP VTP is a notional location at which shippers can register trades of natural gas. It is accessible only to shippers transporting on forward flow.Operational from 15 November 2020.,1.000000,"TAP markets capacity in KWh/d
",36.840000,47.730000,"Range of TAP GCV as provided in TAP Network Code
",MJ/nm3,,True,"TAP has in place 25  years GTAs and we will offer multiannual contracts through the Market Test procedure. 
",True,"TAP offers annual products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar.
",False,,True,"TAP offers quarterly products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar
",True,"TAP offers monthly products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar.
",True,"TAP offers daily products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar
",False,"TAP currently does not offer WD capacity products.
",,"Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.
","“Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.
","Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.
","Currently no capacity has been made available on this point through the application of the congestion-management procedures
",2024-07-22T06:07:18+02:00,False,False,False,,,,No,,CH,Greece,Cross-Border EU|Non-EU,within EU,,,,GR,Trading Point,9,Greece,5AL-TSO-0001VTP-00044entry,5,Western Europe,Southern Europe,https://transparency.entsog.eu/api/v1/operatorpointdirections?limit=-1&timeZone=UCT
VTP-00044,TAP Virtual Trading Point ,AL-TSO-0001,21X000000001376X,TAP,exit,,,True,False,,False,,False,,,,,,,,21Z000000000491A,TAP Virtual Trading Point,2020-11-15,2099-12-31,TAP VTP is a notional location at which shippers can register trades of natural gas. It is accessible only to shippers transporting on forward flow. Operational from 15 November 2020.,1.000000,"TAP markets capacity in KWh/d
",36.840000,47.730000,"Range of TAP GCV as provided in TAP Network Code
",MJ/nm3,,True,"TAP has in place 25  years GTAs and we will offer multiannual contracts through the Market Test procedure. 
",True,"TAP offers annual products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar.
",False,,True,"TAP offers quarterly products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar
",True,"TAP offers monthly products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar.
",True,"TAP offers daily products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar
",False,"TAP currently does not offer WD capacity products.
",,"Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.
","“Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.
","Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.
","Currently no capacity has been made available on this point through the application of the congestion-management procedures
",2024-07-22T06:07:18+02:00,False,False,False,,,,No,,CH,Greece,Cross-Border EU|Non-EU,within EU,,,,GR,Trading Point,9,Greece,5AL-TSO-0001VTP-00044exit,5,Western Europe,Southern Europe,https://transparency.entsog.eu/api/v1/operatorpointdirections?limit=-1&timeZone=UCT
ITP-00227,RC Lindau,AT-DSO-0001,                ,Vorarlberger Erdgas,entry,,,False,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-22T06:07:18+02:00,False,,,,,,No,,AT,Austria,Cross-Border EU|EU,within EU,,,,DE,Cross-Border Transmission IP within EU,0,DE THE BZ,5AT-DSO-0001ITP-00227entry,5,Western Europe,Western Europe,https://transparency.entsog.eu/api/v1/operatorpointdirections?limit=-1&timeZone=UCT
UGS-00273,Haiming 2 7F/bn,AT-SSO-0001,                ,RAG,entry,,,False,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-22T06:07:18+02:00,False,,,,,,No,,AT,,Cross-Border EU|EU,within EU,,,,DE,Cross-Border Storage IP within EU,15,DE THE BZ,5AT-SSO-0001UGS-00273entry,5,Western Europe,Western Europe,https://transparency.entsog.eu/api/v1/operatorpointdirections?limit=-1&timeZone=UCT
