countryName,totalEntries,totalExits,totalFlow
Albania,7971870427.0,7971948760.0,-78333.0
Austria,12434275134.0,36151766900.0,-37797694126.0
Belarus,0.0,0.0,700728948.0
Belgium,45479807561.8,20410827573.9,25068946594.5
Bulgaria,19829187941.969,14026832100.1,-7603999774.1310005
Croatia,1483277826.0,1483278006.0,-180.0
Czechia,16273463590.0,41727477359.0,-15477433756.0
Denmark,16516676765.0,8859796335.0,4161641.0
Estonia,1100649538.258,93203420.0,1007446118.258
Finland,93296682.258,93203420.0,93262.25800000131
France,22256373058.0,20391726627.0,-11530120136.0
Germany,80046207835.72,100121307871.612,-21679528838.336
Greece,13384310663.0,3085103369.1,10081019564.9
Hungary,15598405866.34328,9670917627.0,5927488239.343281
Ireland,0.0,0.0,-3989035330.0
Italy,25441479522.0,10705220070.0,12978275943.0
Latvia,2656991472.0,1649638612.0,1007352860.0
Libya,0.0,0.0,1711179120.0
Lithuania,2513832702.0,1813103750.0,-1258223753.0
Luxemburg,1075.0,1042299.0,-1041224.0
Moldavia,8379486.07,1714335806.79,-1677465290.56
Morocco,69227.0,775652555.0,0.0
Netherlands,30792815909.5,32259870243.6,-13516083839.68
North Macedonia,0.0,308233428.0,-308233428.0
Norway,31631072246.9,0.0,81433139772.9
Poland,10415264812.89,10341348913.3,73824146.59000003
Portugal,522459620.0,515164247.0,7295373.0
Romania,6442874764.272281,6928433778.440001,-485559014.16771907
Russia,1007352856.0,1258223757.0,14198237814.3
San Marino,0.0,16934434.0,0.0
Serbia,5927460000.0,7297268923.0,-1369808923.0
Slovakia,11413054653.0,42514434352.0,-23325411169.0
Slovenia,955016557.0,955621167.0,-604610.0
Spain,2743619658.0,2728009742.0,-759973412.0
Switzerland,13035835333.0,27707689590.936,-4726485902.312
Turkey,10079369426.0,0.0,23703912771.0
Ukraine,28314780273.86,16250521722.81,-1155117437.4099998
United Kingdom,39062248749.2,14362440780.0,0.0
