countryA,countryB,entryFlow,exitFlow
Austria,Austria,0.0,112088125.0
Austria,Germany,2135254255.0,2659438726.0
Austria,Hungary,1416761561.0,1567199445.0
Austria,Italy,9332339941.0,10315237026.0
Austria,Slovakia,0.0,57818951540.0
Austria,Slovenia,383519855.0,424470828.0
Belgium,Belgium,7899730434.0,13323961948.0
Belgium,France,5628435258.0,5628435658.0
Belgium,Germany,1102728555.0,1112825108.0
Belgium,Luxemburg,291332972.0,324923719.0
Belgium,Netherlands,5194051032.2,5338845102.400001
Belgium,Norway,5255584493.0,0.0
Belgium,United Kingdom,0.0,6224596.0
Bulgaria,Bulgaria,433386976.0,1109147683.0
Bulgaria,Greece,638990909.0,638990916.0
Bulgaria,North Macedonia,0.0,46284774.0
Bulgaria,Romania,4614152822.8,920271735.0
Bulgaria,Turkey,0.0,1195839569.0
Croatia,Croatia,348823402.0,863091117.0
Croatia,Hungary,445321026.0,400251000.0
Croatia,Slovenia,99512930.0,91619104.0
Czechia,Czechia,528255144.0,181367244.0
Czechia,Germany,41285602321.7,29078402234.0
Czechia,Poland,248674782.0,273556777.0
Czechia,Slovakia,489360178.0,432022221.0
Denmark,Denmark,1393662549.0,0.0
Denmark,Germany,0.0,117058796.0
Estonia,Estonia,0.0,227836436.64000002
Estonia,Latvia,288174865.1935,374607038.1935
Estonia,Russia,17277531.6085,76272506.58500001
Finland,Russia,1004068085.0,0.0
France,Belgium,5628435258.0,5628435658.0
France,France,26705498604.0,26694918352.0
France,Germany,2483617468.0,1241728000.0
France,Norway,6443524468.0,0.0
France,Spain,2189429530.0,2134877907.0
France,Switzerland,0.0,4695262911.0
Germany,Austria,1519401365.0,2338478662.0
Germany,Belgium,1102728555.0,1112825108.0
Germany,Czechia,30598592823.7,12649637640.0
Germany,Denmark,0.0,117058796.0
Germany,France,1241808734.0,1241728000.0
Germany,Germany,14367971802.8,16036521486.11
Germany,Luxemburg,7808235.0,7808229.0
Germany,Netherlands,8691846474.492,10863580313.034
Germany,Norway,5885753387.7,0.0
Germany,Poland,9015414407.0,8225224590.29
Germany,Switzerland,22997.904000000002,22302211695.6
Greece,Bulgaria,638990909.0,638990916.0
Greece,Greece,907478831.0,1473171835.0
Greece,Turkey,0.0,0.0
Hungary,Austria,1416761561.0,1567199445.0
Hungary,Croatia,445321026.0,400251000.0
Hungary,Hungary,1711905549.0,3539902168.0
Hungary,Romania,453445666.1,413400000.0
Hungary,Serbia,0.0,688603000.0
Hungary,Slovakia,0.0,0.0
Hungary,Ukraine,2918947000.0,417856000.0
Ireland,United Kingdom,0.0,1411331700.0
Italy,Austria,9332339941.0,10315237026.0
Italy,Italy,13993396636.0,24243325307.0
Italy,Libya,1563778477.0,0.0
Italy,San Marino,0.0,16583948.0
Italy,Slovenia,0.0,0.0
Italy,Switzerland,5520459832.0,43940561.0
Latvia,Estonia,288174865.1935,374607038.1935
Latvia,Lithuania,52501861.0,52501861.0
Latvia,Russia,1232086.6085,76272506.58500001
Lithuania,Belarus,1632661810.0,0.0
Lithuania,Latvia,52501861.0,52501861.0
Lithuania,Lithuania,0.0,0.0
Lithuania,Russia,0.0,940581393.0
Luxemburg,Belgium,291332972.0,324923719.0
Luxemburg,Germany,7808235.0,7808229.0
Luxemburg,Luxemburg,0.0,604030970.0
Moldavia,Romania,0.0,0.0
Moldavia,Ukraine,3098639836.1,305716350.06
Morocco,Spain,996074336.0,0.0
Netherlands,Belgium,5194051032.2,5338845102.400001
Netherlands,Germany,5576692904.437,18112384562.234
Netherlands,Netherlands,26308704724.600002,21638673513.7
Netherlands,United Kingdom,0.0,7970361.699999999
North Macedonia,Bulgaria,0.0,46284774.0
Norway,Belgium,5255584493.0,0.0
Norway,Germany,5885753387.7,0.0
Poland,Czechia,248774359.0,273556777.0
Poland,Germany,9015414407.0,8225224590.29
Poland,Poland,5619917339.0,15336277138.0
Portugal,Portugal,3065071096.0,1439168055.0
Portugal,Spain,44988839.0,52133099.0
Romania,Bulgaria,4614152822.8,920271735.0
Romania,Hungary,453445666.1,413400000.0
Romania,Moldavia,0.0,0.0
Romania,Romania,4314797239.878,4478871611.398
Romania,Ukraine,3090003332.94,3015649165.96
Russia,Estonia,17277531.6085,76272506.58500001
Russia,Latvia,1232086.6085,76272506.58500001
Slovakia,Austria,0.0,43364213655.0
Slovakia,Czechia,489360178.0,432022221.0
Slovakia,Hungary,0.0,0.0
Slovakia,Ukraine,16085346532.0,801436257.0
Slovenia,Austria,383519855.0,424470828.0
Slovenia,Croatia,99512930.0,91619104.0
Slovenia,Italy,0.0,0.0
Slovenia,Slovenia,0.0,290392703.0
Spain,France,2189429530.0,2134877907.0
Spain,Portugal,44988839.0,52133099.0
Spain,Spain,5468297104.0,7743487033.0
Switzerland,France,0.0,4695262911.0
Switzerland,Germany,68993.712,7434070565.2
Switzerland,Italy,5520459832.0,0.0
Turkey,Bulgaria,0.0,1195839569.0
Turkey,Greece,0.0,0.0
Ukraine,Belarus,0.0,0.0
Ukraine,Hungary,0.0,3222456302.0
Ukraine,Moldavia,3098639836.1,3689517164.3599997
Ukraine,Romania,3090003332.94,3214406088.79
Ukraine,Russia,26512687092.9922,0.0
Ukraine,Slovakia,16085346532.0,801436257.0
Ukraine,Ukraine,0.0,3689517164.3599997
United Kingdom,Belgium,15203221.0,0.0
United Kingdom,Ireland,0.0,0.0
United Kingdom,Norway,13414652488.0,0.0
United Kingdom,United Kingdom,24055613.0,13722337456.0
