fromCountryLabel,toCountryLabel,entryValue,exitValue,totalFlow
Austria,Germany,3211964224.0,4069164885.29,-857200661.29
Austria,Hungary,3676101653.0,3775213984.0,-99112331.0
Austria,Italy,16095387145.0,16123855154.0,-28468009.0
Austria,Slovakia,0.0,114246282940.0,-114246282940.0
Austria,Slovenia,1416880494.0,1417126368.0,-245874.0
Belarus,Lithuania,2442571167.0,0.0,2442571167.0
Belarus,Ukraine,0.0,0.0,0.0
Belgium,France,10939016066.0,10939016043.0,23.0
Belgium,Germany,2225173483.0,2264618472.0,-39444989.0
Belgium,Luxemburg,451600011.0,451599829.0,182.0
Belgium,Netherlands,12707762512.5,14130636275.1,-1422873762.6000004
Belgium,Norway,13475358673.0,0.0,13475358673.0
Belgium,United Kingdom,82829155.0,83846560.0,-1017405.0
Bulgaria,Greece,711370941.0,712258397.0,-887456.0
Bulgaria,North Macedonia,0.0,194991531.0,-194991531.0
Bulgaria,Romania,14392149230.83,1981872146.0,12410277084.83
Bulgaria,Turkey,0.0,4466496452.0,-4466496452.0
Croatia,Hungary,1228945652.0,1173343000.0,55602652.0
Croatia,Slovenia,656845281.0,654080477.0,2764804.0
Czechia,Germany,54150761125.4,60075837553.3,-5925076427.900002
Czechia,Poland,556200852.0,556044874.0,155978.0
Czechia,Slovakia,2341457224.0,2342359110.0,-901886.0
Denmark,Germany,5363671282.0,0.0,5363671282.0
Estonia,Latvia,2509514305.787,1496313289.7870002,1013201016.0
Estonia,Russia,1173141776.8700001,101194666.917,1071947109.9530001
France,Belgium,10939016066.0,10939016043.0,23.0
France,Germany,5050615765.0,5051696000.0,-1080235.0
France,Spain,4857679296.0,4800576863.0,57102433.0
France,Switzerland,0.0,12404775239.0,-12404775239.0
Germany,Austria,5703132595.0,4763963455.29,939169139.71
Germany,Belgium,2225173483.0,2264618472.0,-39444989.0
Germany,Czechia,70066074487.4,29540848159.3,40525226328.09999
Germany,Denmark,5363671282.0,0.0,5363671282.0
Germany,France,10101231530.0,5051696000.0,5049535530.0
Germany,Luxemburg,177010573.0,175896413.0,1114160.0
Germany,Netherlands,16827356177.5,29195499024.68,-12368142847.18
Germany,Norway,19236890504.7,0.0,19236890504.7
