fromCountry,toCountry,direction,totalGasFlow
Albania,Italy,entry,3234706432.0
Albania,Italy,exit,3537900080.0
Austria,Austria,exit,253005903.0
Austria,Germany,entry,1829586209.0
Austria,Germany,exit,1198817433.0
Austria,Hungary,entry,1649808187.0
Austria,Hungary,exit,1649808333.0
Austria,Italy,entry,1650286580.0
Austria,Italy,exit,1463391260.0
Austria,Slovakia,entry,0.0
Austria,Slovakia,exit,12187419960.0
Austria,Slovenia,entry,297632331.0
Austria,Slovenia,exit,277170239.0
Belgium,Belgium,entry,11488956346.0
Belgium,Belgium,exit,16209148870.0
Belgium,France,entry,2042099947.0
Belgium,France,exit,2020337929.0
Belgium,Germany,entry,3329245014.0
Belgium,Germany,exit,6309098139.0
Belgium,Luxemburg,entry,327116788.0
Belgium,Luxemburg,exit,0.0
Belgium,Netherlands,entry,4454369105.4
Belgium,Netherlands,exit,3641233871.2
Belgium,Norway,entry,5712603332.0
Belgium,Norway,exit,0.0
Belgium,United Kingdom,exit,1302883695.0
Bulgaria,Bulgaria,entry,1008783088.0
Bulgaria,Bulgaria,exit,2078333952.0
Bulgaria,Greece,entry,569406664.0
Bulgaria,Greece,exit,638054336.13
Bulgaria,North Macedonia,exit,154536008.0
Bulgaria,Romania,entry,333484741.35
Bulgaria,Romania,exit,371278614.0
Bulgaria,Serbia,entry,0.0
Bulgaria,Serbia,exit,2599723353.0
Bulgaria,Turkey,entry,3791174408.0
Bulgaria,Turkey,exit,0.0
Croatia,Croatia,entry,1251363045.0
Croatia,Croatia,exit,997725794.0
Croatia,Hungary,entry,299620000.0
Croatia,Hungary,exit,269525984.0
Croatia,Slovenia,entry,117413195.0
Croatia,Slovenia,exit,130133834.0
Czechia,Czechia,entry,4609854660.0
Czechia,Czechia,exit,0.0
Czechia,Germany,entry,3522252177.0
Czechia,Germany,exit,4071434139.0
Czechia,Poland,entry,30635968.0
Czechia,Poland,exit,30635968.0
Czechia,Slovakia,entry,372051395.0
Czechia,Slovakia,exit,372051395.0
Denmark,Denmark,entry,40510656.0
Denmark,Germany,entry,46499280.0
Denmark,Germany,exit,60303114.0
Denmark,Norway,entry,2779317783.0
Denmark,Poland,entry,2161676788.0
Denmark,Poland,exit,2148230645.0
Estonia,Estonia,exit,183238777.97
Estonia,Finland,entry,431027517.49
Estonia,Finland,exit,431498334.90000004
Estonia,Latvia,entry,0.0
Estonia,Russia,entry,0.0
Estonia,Russia,exit,0.0
Finland,Estonia,entry,431027517.49
Finland,Estonia,exit,431498334.90000004
Finland,Finland,entry,142530990.95
France,Belgium,entry,2042099947.0
France,Belgium,exit,2020337929.0
France,France,entry,39016569874.0
France,France,exit,22105339562.0
France,Germany,entry,312352000.0
France,Germany,exit,312357625.0
France,Norway,entry,4781631899.0
France,Spain,entry,1382252828.0
France,Spain,exit,1246047258.0
France,Switzerland,entry,0.0
France,Switzerland,exit,3674281916.0
Germany,Austria,entry,4448329380.0
Germany,Austria,exit,1714011662.0
Germany,Belgium,entry,9639766116.6
Germany,Belgium,exit,0.0
Germany,Czechia,entry,2076119999.0
Germany,Czechia,exit,9686289507.0
Germany,Denmark,entry,46499280.0
Germany,Denmark,exit,60303114.0
Germany,France,entry,312352000.0
Germany,France,exit,624715250.0
Germany,Germany,entry,0.0
Germany,Germany,exit,6058809654.44
Germany,Luxemburg,entry,0.0
Germany,Luxemburg,exit,0.0
Germany,Netherlands,entry,18891750962.38
Germany,Netherlands,exit,13190478676.8
Germany,Norway,entry,7526075113.9
Germany,Norway,exit,0.0
Germany,Poland,entry,641619004.0
Germany,Poland,exit,641648654.88
Germany,Russia,entry,0.0
Germany,Switzerland,entry,805011333.0
Germany,Switzerland,exit,8906635630.328
Greece,Bulgaria,entry,569406664.0
Greece,Bulgaria,exit,638054336.13
Greece,Greece,exit,600386118.0
Greece,Turkey,entry,4374001548.0
Hungary,Austria,entry,1649808187.0
Hungary,Austria,exit,1649808333.0
