countryName,totalEntries,totalExits,totalFlow
Austria,17463386495.0,64684685254.0,-63703397558.0
Belarus,1006091387.0,0.0,1006091387.0
Belgium,21229129581.2,15950280723.9,2173088857.3
Bulgaria,6853863047.0,3348634041.576,3505229005.424
Croatia,688456889.0,670291458.0,18165431.0
Czechia,32108374431.7,12942173215.0,1884904406.7000008
Denmark,0.0,96496656.0,-96496656.0
Estonia,167231658.91,55940736.455,111290922.455
Finland,0.0,0.0,0.0
France,9058308502.0,14649541269.0,-5591232767.0
Germany,66660602303.5,73919102709.01001,-8517683756.010006
Greece,1194674568.0,928505631.0,266168937.0
Hungary,2602319388.49,6219463447.5,-2374194110.51
Ireland,0.0,0.0,-1622697900.0
Italy,22748208681.0,12334780297.0,10355803267.0
Latvia,56104068.91,55940736.455,163332.45500000002
Libya,1733468376.0,0.0,1733468376.0
Lithuania,0.0,0.0,-885718833.0
Luxemburg,287467518.0,287467414.0,104.0
Moldavia,3552924792.7,3992204444.289,3340260538.111
Morocco,0.0,0.0,0.0
Netherlands,13042645581.099998,15653894159.31,-9990405441.410002
North Macedonia,0.0,36042249.0,-36042249.0
Norway,32511495862.6,0.0,32511495862.6
Poland,6019853660.0,5640863547.3,378990112.6999998
Portugal,88849023.0,90346160.0,-1497137.0
Romania,9444861444.310001,4880245909.026,4564615535.284
Russia,31839746195.8434,885718833.0,31839746195.8434
San Marino,0.0,16806767.0,0.0
Serbia,0.0,454996000.0,0.0
Slovakia,20656781451.0,63663442964.0,-27676005320.0
Slovenia,630650713.0,660513929.0,-29863216.0
Spain,3661077601.0,1866191231.0,1794886370.0
Switzerland,10400709906.0,46360150790.8,-8863130529.6
Turkey,532337884.0,1465604352.0,-933266468.0
Ukraine,30126157830.52,6063300603.039,18585371089.281
United Kingdom,0.0,4744045524.5,0.0
