,point_key,point_label,is_single_operator,point_tooltip,point_eic_code,control_point_type,tp_map_x,tp_map_y,point_type,commercial_type,import_from_country_key,import_from_country_label,has_virtual_point,virtual_point_key,virtual_point_label,has_data,is_planned,is_interconnection,is_import,infrastructure_key,infrastructure_label,is_cross_border,eu_crossing,is_invalid,is_macro_point,is_cam_relevant,is_pipe_in_pipe,is_cmp_relevant,id,data_set,url
0,DIS-00001,Distribution (PT),0,,?,O_P_INCOUN_IN_DIS,-128.19,-69.5,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00001,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
1,DIS-00005,Distribution (IT),0,,21Y0000000000581,O_P_INCOUN_IN_DIS,-20.0,-59.49,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00005,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
2,DIS-00013,Aggregated Distribution - H-gas (PL),0,,21Y0000000000670,O_P_INCOUN_IN_DIS,25.49,-4.87,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00013,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
3,DIS-00015,Greater Belfast,0,,21Y0000000000492,O_P_INCOUN_IN_DIS_ExtEU,-113.25,16.43,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00015,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
4,DIS-00016,Lisburn,0,,21Z0000000003956,O_P_INCOUN_IN_DIS_ExtEU,-114.04,15.11,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00016,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
5,DIS-00017,PTL Stranraer,0,,21Z0000000003948,O_P_INCOUN_IN_DIS_ExtEU,-109.07,19.6,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00017,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
6,DIS-00018,Agioi Theodoroi,0,,21Z000000000403X,O_P_INCOUN_IN_DIS,37.53,-73.59,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00018,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
7,DIS-00019,Alexandroupolis,0,,21Z000000000438E,O_P_INCOUN_IN_DIS,52.12,-66.94,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00019,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
8,DIS-00020,Aliveri (PPC),0,,21Z000000000434M,O_P_INCOUN_IN_FNC,43.07,-72.98,Aggregated Point - Final Consumers,Physical,,,False,,,True,False,True,False,FNC,Final Consumers,False,EU,False,,False,False,False,2DIS-00020,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
9,DIS-00021,Aloyminion,0,,21Z000000000442N,O_P_INCOUN_IN_FNC,35.42,-72.76,Aggregated Point - Final Consumers,Physical,,,False,,,True,False,True,False,FNC,Final Consumers,False,EU,False,,False,False,False,2DIS-00021,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
10,DIS-00022,Aloyminion II,0,,21Z000000000441P,O_P_INCOUN_IN_FNC,35.42,-72.76,Aggregated Point - Final Consumers,Physical,,,False,,,True,False,True,False,FNC,Final Consumers,False,EU,False,,False,False,False,2DIS-00022,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
11,DIS-00023,Aloyminion III,0,,21Z000000000440R,O_P_INCOUN_IN_FNC,35.42,-72.76,Aggregated Point - Final Consumers,Physical,,,False,,,True,False,True,False,FNC,Final Consumers,False,EU,False,,False,False,False,2DIS-00023,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
12,DIS-00024,Athens,0,,21Z000000000439C,O_P_INCOUN_IN_DIS,41.66,-73.37,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00024,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
13,DIS-00025,Drama,0,,21Z000000000430U,O_P_INCOUN_IN_DIS,42.1,-66.2,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00025,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
14,DIS-00026,ELPE,0,,21Z000000000429F,O_P_INCOUN_IN_FNC,35.6,-67.11,Aggregated Point - Final Consumers,Physical,,,False,,,True,False,True,False,FNC,Final Consumers,False,EU,False,,False,False,False,2DIS-00026,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
15,DIS-00027,Energiaki Thess. (ELPE),0,,21Z000000000428H,O_P_INCOUN_IN_FNC,35.99,-67.54,Aggregated Point - Final Consumers,Physical,,,False,,,True,False,True,False,FNC,Final Consumers,False,EU,False,,False,False,False,2DIS-00027,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
16,DIS-00028,Heron II,0,,21Z000000000427J,O_P_INCOUN_IN_FNC,38.85,-72.69,Aggregated Point - Final Consumers,Physical,,,False,,,True,False,True,False,FNC,Final Consumers,False,EU,False,,False,False,False,2DIS-00028,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
17,DIS-00029,Heronas,0,,21Z000000000426L,O_P_INCOUN_IN_FNC,38.85,-72.69,Aggregated Point - Final Consumers,Physical,,,False,,,True,False,True,False,FNC,Final Consumers,False,EU,False,,False,False,False,2DIS-00029,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
18,DIS-00030,Karditsa,0,,21Z000000000421V,O_P_INCOUN_IN_DIS,31.86,-70.6,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00030,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
19,DIS-00031,Katerini,0,,21Z000000000420X,O_P_INCOUN_IN_DIS,34.37,-68.72,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00031,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
20,DIS-00032,Kavala,0,,21Z000000000422T,O_P_INCOUN_IN_DIS,42.89,-66.79,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00032,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
21,DIS-00033,Keratsini(PPC),0,,21Z000000000433O,O_P_INCOUN_IN_FNC,40.17,-73.45,Aggregated Point - Final Consumers,Physical,,,False,,,True,False,True,False,FNC,Final Consumers,False,EU,False,,False,False,False,2DIS-00033,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
22,DIS-00034,Kilkis,0,,21Z000000000419I,O_P_INCOUN_IN_DIS,36.47,-67.2,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00034,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
23,DIS-00035,Kokkina,0,,21Z000000000418K,O_P_INCOUN_IN_DIS,35.51,-70.35,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00035,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
24,DIS-00036,Komotini,0,,21Z000000000417M,O_P_INCOUN_IN_DIS,48.47,-66.23,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00036,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
25,DIS-00037,Komotini(PPC),0,,21Z000000000432Q,O_P_INCOUN_IN_FNC,48.47,-66.23,Aggregated Point - Final Consumers,Physical,,,False,,,True,False,True,False,FNC,Final Consumers,False,EU,False,,False,False,False,2DIS-00037,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
26,DIS-00038,Lamia,0,,21Z000000000416O,O_P_INCOUN_IN_DIS,35.33,-71.51,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00038,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
27,DIS-00039,Larissa,0,,21Z000000000415Q,O_P_INCOUN_IN_DIS,34.15,-69.78,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00039,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
28,DIS-00040,Lavrio(PPC),0,,21Z000000000431S,O_P_INCOUN_IN_FNC,42.32,-74.02,Aggregated Point - Final Consumers,Physical,,,False,,,True,False,True,False,FNC,Final Consumers,False,EU,False,,False,False,False,2DIS-00040,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
29,DIS-00041,Motor Oil,0,,21Z000000000413U,O_P_INCOUN_IN_FNC,37.05,-73.64,Aggregated Point - Final Consumers,Physical,,,False,,,True,False,True,False,FNC,Final Consumers,False,EU,False,,False,False,False,2DIS-00041,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
30,DIS-00042,Motor Oil II,0,,21Z000000000412W,O_P_INCOUN_IN_FNC,37.05,-73.64,Aggregated Point - Final Consumers,Physical,,,False,,,True,False,True,False,FNC,Final Consumers,False,EU,False,,False,False,False,2DIS-00042,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
31,DIS-00043,Oinofyta,0,,21Z000000000409L,O_P_INCOUN_IN_DIS,39.55,-72.69,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00043,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
32,DIS-00044,Platy,0,,21Z000000000408N,O_P_INCOUN_IN_DIS,35.38,-67.61,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00044,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
33,DIS-00045,SALFA Ano Liossia,0,,21Z000000000406R,O_P_INCOUN_IN_DIS,40.69,-72.93,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00045,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
34,DIS-00046,SALFA Anthousa,0,,21Z000000000407P,O_P_INCOUN_IN_DIS,41.88,-73.2,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00046,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
35,DIS-00047,Serres,0,,21Z000000000405T,O_P_INCOUN_IN_DIS,39.86,-66.05,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00047,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
36,DIS-00048,Spata,0,,21Z000000000414S,O_P_INCOUN_IN_DIS,41.79,-73.45,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00048,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
37,DIS-00049,Thessaloniki,0,,21Z000000000425N,O_P_INCOUN_IN_DIS,36.96,-67.68,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00049,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
38,DIS-00050,Thisvi,0,,21Z000000000424P,O_P_INCOUN_IN_FNC,36.96,-67.68,Aggregated Point - Final Consumers,Physical,,,False,,,True,False,True,False,FNC,Final Consumers,False,EU,False,,False,False,False,2DIS-00050,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
39,DIS-00051,Thriassio,0,,21Z000000000423R,O_P_INCOUN_IN_DIS,40.03,-73.45,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00051,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
40,DIS-00052,Trikala,0,,21Z000000000404V,O_P_INCOUN_IN_DIS,29.97,-70.07,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00052,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
41,DIS-00053,VFL,0,,21Z000000000435K,O_P_INCOUN_IN_DIS,44.52,-66.46,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00053,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
42,DIS-00054,VIPE Larissa,0,,21Z000000000437G,O_P_INCOUN_IN_DIS,34.15,-69.78,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00054,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
