country,pointKey,pointLabel,isSingleOperator,pointTpMapX,pointTpMapY,fromSystemLabel,fromInfrastructureTypeLabel,fromCountryKey,fromCountryLabel,toSystemLabel,toInfrastructureTypeLabel,toCountryKey,toCountryLabel,toOperatorKey,toOperatorLabel,toPointKey,toPointLabel,validFrom,validto,lastUpdateDateTime
IE,ITP-00090,Moffat,False,-101.25,21.7,Ireland,Transmission,IE,Ireland,UK,Transmission,UK,United Kingdom,UK-TSO-0001,National Gas TSO,ITP-00090,Moffat,,,Jun  5 2024  6:23PM
IE,ITP-00222,South North CSEP,False,-117.38,11.35,Ireland,Transmission,IE,Ireland,NI,Transmission,UK,United Kingdom,IE-TSO-0001,GNI (UK),ITP-00222,South North CSEP,,,Jun  5 2024  6:23PM
IE,UGS-00007,UGS Kinsale SouthWest (IE),False,-125.86,-7.45,Ireland,Transmission,IE,Ireland,Storage,Storage,IE,Ireland,,,,,,,Jun  5 2024  6:23PM
IE,UGS-00007,UGS Kinsale SouthWest (IE),False,-125.86,-7.45,Storage,Storage,IE,Ireland,Ireland,Transmission,IE,Ireland,IE-TSO-0002,GNI,UGS-00007,UGS Kinsale SouthWest (IE),,,Jun  5 2024  6:23PM
IE,VTP-00005,IBP,False,-124.58,2.37,Ireland,Transmission,IE,Ireland,Ireland,Transmission,IE,Ireland,IE-TSO-0002,GNI,VTP-00005,IBP-IE,,,Jun  5 2024  6:23PM
IE,VTP-00005,IBP,False,-124.58,2.37,Ireland,Transmission,IE,Ireland,Ireland,Transmission,IE,Ireland,,,,,,,Jun  5 2024  6:23PM
BG,FNC-00016,Aggregated exits NGTN (BG),False,56.25,-60.63,Bulgaria,Transmission,BG,Bulgaria,Final Consumers,Final Consumers,BG,Bulgaria,,,,,,,Jun  5 2024  6:23PM
BG,FNC-00207,Aggregated exits Bulgaria,False,49.39,-60.42,Bulgaria,Transmission,BG,Bulgaria,Final Consumers,Final Consumers,BG,Bulgaria,,,,,,,Jun  5 2024  6:23PM
BG,FNC-00017,Aggregated exits GTNTT (BG),False,56.03,-60.63,Bulgaria,Transmission,BG,Bulgaria,Final Consumers,Final Consumers,BG,Bulgaria,,,,,,,Jun  5 2024  6:23PM
BG,ITP-00059,"Negru Voda II, III (RO) / Kardam (BG)",False,62.8,-57.35,Bulgaria,Transmission,BG,Bulgaria,RO_DTS,Transmission,RO,Romania,RO-TSO-0001,Transgaz,ITP-00301,Negru Voda II,,,Jun  5 2024  6:23PM
BG,ITP-00041,Strandzha (BG) / Malkoclar (TR),False,57.5,-63.6,Bulgaria,Transmission,BG,Bulgaria,Transmission,Transmission,TR,Turkey,TR-TSO-0001,Botas,ITP-00041,Strandzha (BG) / Malkoclar (TR),,,Jun  5 2024  6:23PM
BG,ITP-00059,"Negru Voda II, III (RO) / Kardam (BG)",False,62.8,-57.35,Bulgaria,Transmission,BG,Bulgaria,RO_DTS,Transmission,RO,Romania,RO-TSO-0001,Transgaz,ITP-00302,Negru Voda III,,,Jun  5 2024  6:23PM
BG,ITP-00036,Kyustendil (BG) / Zidilovo (MK),False,33.71,-63.02,Bulgaria,Transmission,BG,Bulgaria,Transmission,Transmission,MK,North Macedonia,MK-TSO-0002,NOMAGAS,ITP-00036,Kyustendil (BG) / Zidilovo (MK),,,Jun  5 2024  6:23PM
BG,ITP-00058,Negru Voda I (RO) / Kardam (BG),False,63.5,-57.35,Bulgaria,Transmission,BG,Bulgaria,RO_NTS,Transmission,RO,Romania,RO-TSO-0001,Transgaz,ITP-00058,Negru Voda I,,,Jun  5 2024  6:23PM
BG,ITP-00128,Kulata (BG) / Sidirokastron (GR),False,37.9,-65.4,Bulgaria,Transmission,BG,Bulgaria,Greece,Transmission,GR,Greece,GR-TSO-0001,DESFA S.A.,ITP-00128,Kulata (BG) / Sidirokastron (GR),,,Jun  5 2024  6:23PM
BG,ITP-00153,Ruse (BG) / Giurgiu (RO),False,52.56,-56.85,Bulgaria,Transmission,BG,Bulgaria,RO_NTS,Transmission,RO,Romania,RO-TSO-0001,Transgaz,ITP-00153,Ruse (BG) / Giurgiu (RO),,,Jun  5 2024  6:23PM
BG,ITP-00529,Kireevo (BG) / Zaychar (RS),False,33.13,-56.97,Bulgaria,Transmission,BG,Bulgaria,Transmission,Transmission,RS,Serbia,RS-TSO-0003,GASTRANS,ITP-00529,Kireevo (BG) / Zaychar (RS),,,Jun  5 2024  6:23PM
BG,UGS-00019,GMS Chiren,True,39.64,-58.95,Storage,Storage,BG,Bulgaria,Bulgaria,Transmission,BG,Bulgaria,BG-TSO-0001,Bulgartransgaz,UGS-00019,GMS Chiren,,,Jun  5 2024  6:23PM
BG,UGS-00019,GMS Chiren,True,39.64,-58.95,Bulgaria,Transmission,BG,Bulgaria,Storage,Storage,BG,Bulgaria,,,,,,,Jun  5 2024  6:23PM
BG,ITP-00275,Komotini - TAP / IGB,False,49.44,-66.27,Bulgaria,Transmission,BG,Bulgaria,Greece,Transmission,GR,Greece,AL-TSO-0001,TAP AG,ITP-00275,Komotini,,,Jun  5 2024  6:23PM
BG,ITP-00276,Stara Zagora,False,50.3,-62.8,Bulgaria,Transmission,BG,Bulgaria,Bulgaria,Transmission,BG,Bulgaria,BG-TSO-0003,ICGB,ITP-00276,Stara Zagora,,,Jun  5 2024  6:23PM
BG,ITP-00276,Stara Zagora,False,50.3,-62.8,Bulgaria,Transmission,BG,Bulgaria,Bulgaria,Transmission,BG,Bulgaria,BG-TSO-0001,Bulgartransgaz,ITP-00276,Stara Zagora,,,Jun  5 2024  6:23PM
BG,VTP-00046,IGB Virtual Trading Point/VTP (BG),True,49.7,-64.09,Bulgaria,Transmission,BG,Bulgaria,Bulgaria,Transmission,BG,Bulgaria,BG-TSO-0003,ICGB,VTP-00046,IGB Virtual Trading Point ,,,Jun  5 2024  6:23PM
BG,VTP-00046,IGB Virtual Trading Point/VTP (BG),True,49.7,-64.09,Bulgaria,Transmission,BG,Bulgaria,Bulgaria,Transmission,BG,Bulgaria,,,,,,,Jun  5 2024  6:23PM
BG,ITP-00134,Kalotina (BG)/ Dimitrovgrad (RS),False,35.77,-60.57,Bulgaria,Transmission,BG,Bulgaria,Transmission,Transmission,RS,Serbia,RS-TSO-0004,TransportSrbija,ITP-00134,Kalotina (BG)/ Dimitrovgrad (RS),,,Jun  5 2024  6:23PM
DK,ITP-00097,Nybro,False,-40.74,25.36,Joint Bal Zone DK/SE,Production,DK,Denmark,Joint Bal Zone DK/SE,Transmission,DK,Denmark,DK-TSO-0001,Energinet,ITP-00097,Nybro,,,Jun  5 2024  6:23PM
DK,ITP-00135,Ellund,False,-34.5,17.85,Joint Bal Zone DK/SE,Transmission,DK,Denmark,DE THE BZ,Transmission,DE,Germany,DE-TSO-0005,GUD,ITP-00109,ELLUND,,,Jun  5 2024  6:23PM
DK,ITP-00135,Ellund,False,-34.5,17.85,Joint Bal Zone DK/SE,Transmission,DK,Denmark,DE THE BZ,Transmission,DE,Germany,DE-TSO-0009,OGE,ITP-00031,Ellund,,,Jun  5 2024  6:23PM
DK,ITP-10011,VIP DK-THE,False,-36.08,18.4,Joint Bal Zone DK/SE,Transmission,DK,Denmark,DE THE BZ,Transmission,DE,Germany,DE-TSO-0005,GUD,ITP-10011,VIP DK-THE,,,Jun  5 2024  6:23PM
DK,UGS-00006,Lille Torup,False,-34.94,26.43,Joint Bal Zone DK/SE,Transmission,DK,Denmark,Storage,Storage,DK,Denmark,DK-SSO-0001,Gas Storage Denmark,UGS-00006,Lille Torup,,,Jun  5 2024  6:23PM
DK,UGS-00006,Lille Torup,False,-34.94,26.43,Storage,Storage,DK,Denmark,Joint Bal Zone DK/SE,Transmission,DK,Denmark,DK-TSO-0001,Energinet,UGS-00006,Lille Torup,,,Jun  5 2024  6:23PM
