countryName,totalEntries,totalExits
Austria,13386564739.0,71052809879.62799
Belarus,605388591.0,0.0
Belgium,24089838315.4,22496026208.3
Bulgaria,5756476820.18054,3784843178.4344
Croatia,1139588810.0,1065605758.0
Czechia,28434947225.3,33411574888.0
Denmark,1322649321.0,617536888.0
Estonia,4703497736.0,1527246308.07
Finland,0.0,0.0
France,19485836612.0,37801756216.0
Germany,61929988848.18,84705476604.386
Greece,1995497698.0,2533603974.0
Hungary,3135756318.5299997,13188339358.0
Ireland,0.0,1063373539.0
Italy,29591277655.0,42658642037.0
Latvia,4859364687.0,1698342028.5
Libya,1794232508.0,0.0
Lithuania,764454307.0,712078715.0
Luxemburg,163470364.0,497674401.0
Moldavia,3022200260.6,0.0
Morocco,0.0,0.0
Netherlands,22557876503.579998,37297082240.56
North Macedonia,0.0,134974495.0
Norway,28640497810.5,0.0
Poland,10325120862.0,13994666618.758
Portugal,4317854234.0,2496113840.0
Romania,10934913173.19154,9065431067.864399
Russia,31356556011.371098,0.0
San Marino,0.0,0.0
Serbia,0.0,0.0
Slovakia,20199448238.0,51647810966.0
Slovenia,371004806.0,561776952.0
Spain,11538064236.0,10726766114.0
Switzerland,11626426830.0,22254012789.0
Turkey,694877898.0,1258301394.0
Ukraine,26729396744.281,19419969538.527
United Kingdom,2357479264.0,6627678695.0
