countryA,countryB,entryFlow,exitFlow
Albania,Italy,2926359877.0,3174404845.0
Austria,Austria,0.0,230607174.0
Austria,Germany,3547446768.0,4489507283.0
Austria,Hungary,175339616.0,175339721.0
Austria,Italy,1100144834.0,1345923896.0
Austria,Slovakia,0.0,10407001500.0
Austria,Slovenia,252449032.0,252865192.0
Belgium,Belgium,10156592544.0,11048191534.0
Belgium,France,2841076193.0,2624047909.0
Belgium,Germany,3624142095.0,9771380681.0
Belgium,Luxemburg,242957830.0,0.0
Belgium,Netherlands,11019830414.4,6350346364.7
Belgium,Norway,5726169629.0,0.0
Belgium,United Kingdom,0.0,5737242173.0
Bulgaria,Bulgaria,925002764.0,1997998692.0
Bulgaria,Greece,740887593.0,504378038.13
Bulgaria,North Macedonia,0.0,132190476.0
Bulgaria,Romania,110558302.239,110561218.987
Bulgaria,Serbia,0.0,2353919443.0
Bulgaria,Turkey,2948985450.0,0.0
Croatia,Croatia,1037317853.0,1031659107.0
Croatia,Hungary,205902000.0,191258000.0
Croatia,Slovenia,54521836.0,55230067.0
Czechia,Czechia,947098518.0,1025441672.0
Czechia,Germany,5531693168.0,9728660732.81
Czechia,Poland,8156095.0,8156095.0
Czechia,Slovakia,386223368.0,386223368.0
Denmark,Denmark,38141907.0,0.0
Denmark,Germany,196982156.0,219955273.0
Denmark,Norway,2675914887.0,0.0
Denmark,Poland,1955683125.0,2006956994.0
Estonia,Estonia,0.0,194385151.02
Estonia,Finland,376600725.0,375732155.73
Estonia,Latvia,0.0,0.0
Estonia,Russia,0.0,0.0
Finland,Estonia,376600725.0,375732155.73
Finland,Finland,37835699.0,0.0
France,Belgium,2841076193.0,2624047909.0
France,France,37115474296.0,19112091695.0
France,Germany,1025776000.0,1025690874.0
France,Norway,5254125715.0,0.0
France,Spain,713718973.0,748122354.0
France,Switzerland,0.0,5527660948.0
Germany,Austria,2866046582.0,4352045760.0
Germany,Belgium,13403445845.5,0.0
Germany,Czechia,4124585960.0,19710491922.43
Germany,Denmark,196982156.0,219955273.0
Germany,France,1025776000.0,2051381748.0
Germany,Germany,0.0,3599083186.1
Germany,Luxemburg,0.0,0.0
Germany,Netherlands,18438739320.635,12782019307.2
Germany,Norway,7463648756.4,0.0
Germany,Poland,685059767.0,685091895.561
Germany,Russia,0.0,0.0
Germany,Switzerland,132080775.0,11537414593.1
Greece,Bulgaria,740887593.0,504378038.13
Greece,Greece,0.0,1121806096.0
Greece,Turkey,4272067556.0,0.0
Hungary,Austria,175339616.0,175339721.0
Hungary,Croatia,205902000.0,191258000.0
Hungary,Hungary,5857835438.0,4478450087.0
Hungary,Romania,240619906.16685,210366526.76
Hungary,Serbia,1257711000.0,114250000.0
Hungary,Slovakia,610396000.0,610396000.0
Hungary,Ukraine,386343136.06,413793000.0
Ireland,United Kingdom,0.0,1647589490.0
Italy,Albania,2926359877.0,3174404845.0
Italy,Austria,1100144834.0,1345923896.0
Italy,Italy,16959031333.0,22466612794.0
Italy,Libya,749364927.0,0.0
Italy,San Marino,0.0,15064016.0
Italy,Slovenia,168177840.0,156279373.0
Italy,Switzerland,5301480550.0,54981067.0
Latvia,Estonia,0.0,0.0
Latvia,Latvia,0.0,382963949.0
Latvia,Lithuania,738937442.0,807111187.0
Latvia,Russia,0.0,0.0
Lithuania,Belarus,882386082.0,0.0
Lithuania,Latvia,738937442.0,807111187.0
Lithuania,Lithuania,1376111251.0,0.0
Lithuania,Poland,135613214.0,135613214.0
Lithuania,Russia,0.0,899095615.0
Luxemburg,Belgium,242957830.0,0.0
Luxemburg,Germany,0.0,0.0
Luxemburg,Luxemburg,0.0,482629256.0
Moldavia,Romania,0.0,0.0
Moldavia,Ukraine,96851650.5,274990010.34
Morocco,Spain,0.0,0.0
Netherlands,Belgium,11019830414.4,6350346364.7
Netherlands,Germany,9201758657.505,27751386073.6
Netherlands,Netherlands,27784380816.9,10195604757.4
Netherlands,United Kingdom,0.0,21951729.6
North Macedonia,Bulgaria,0.0,132190476.0
Norway,Belgium,5726169629.0,0.0
Norway,Germany,7463648756.4,0.0
Poland,Czechia,8319423.0,8156095.0
Poland,Denmark,1955683125.0,2006956994.0
Poland,Germany,685059767.0,685091895.561
Poland,Lithuania,135613214.0,135613214.0
Poland,Poland,4211805473.0,13363962959.0
Poland,Slovakia,0.0,0.0
Poland,Ukraine,309362677.14,316288912.0
Portugal,Portugal,2886126528.0,1497276837.0
Portugal,Spain,125422224.0,138158922.0
Romania,Bulgaria,110558302.239,110561218.987
Romania,Hungary,240619906.16685,210366526.76
Romania,Moldavia,0.0,0.0
Romania,Romania,5810577330.08,4344799353.418
Romania,Ukraine,0.0,0.0
Russia,Estonia,0.0,0.0
Russia,Germany,0.0,0.0
Russia,Latvia,0.0,0.0
Serbia,Bulgaria,0.0,2353919443.0
Serbia,Hungary,1257711000.0,0.0
Slovakia,Austria,0.0,7805251125.0
Slovakia,Czechia,386223368.0,386223368.0
Slovakia,Hungary,610396000.0,610396000.0
Slovakia,Poland,0.0,0.0
Slovakia,Ukraine,4823849055.36,4569140103.2
Slovenia,Austria,252449032.0,252865192.0
Slovenia,Croatia,54521836.0,55230067.0
Slovenia,Italy,168177840.0,156279373.0
Slovenia,Slovenia,0.0,364957704.0
Spain,France,713718973.0,748122354.0
Spain,Morocco,0.0,218368660.0
Spain,Portugal,125422224.0,138158922.0
Spain,Spain,17179843447.0,6393060614.0
Switzerland,France,0.0,5527660948.0
Switzerland,Germany,308188475.0,4437382607.7
Switzerland,Italy,5301480550.0,0.0
Turkey,Bulgaria,0.0,0.0
Turkey,Greece,4272067556.0,0.0
Ukraine,Hungary,386343136.06,413793000.0
Ukraine,Moldavia,96851650.5,951504555.63
Ukraine,Poland,309362677.14,316288912.0
Ukraine,Romania,0.0,0.0
Ukraine,Russia,4453014068.8,0.0
Ukraine,Slovakia,4823849055.36,4569140103.2
Ukraine,Ukraine,0.0,949771220.7
United Kingdom,Belgium,5737005121.0,0.0
United Kingdom,Ireland,7608890.0,0.0
United Kingdom,Netherlands,199.9,0.0
United Kingdom,Norway,16350407289.0,0.0
United Kingdom,United Kingdom,5728716320.0,18568132192.0
