fromCountry,toCountry,direction,totalGasFlow
Austria,Austria,exit,101145725.0
Austria,Germany,entry,5333048688.0
Austria,Germany,exit,5345167014.0
Austria,Hungary,entry,1677937385.0
Austria,Hungary,exit,1677937499.0
Austria,Italy,entry,12347498775.0
Austria,Italy,exit,12334780297.0
Austria,Slovakia,entry,0.0
Austria,Slovakia,exit,61322624772.0
Austria,Slovenia,entry,438257018.0
Austria,Slovenia,exit,486274471.0
Belgium,Belgium,entry,6225966940.0
Belgium,Belgium,exit,12175843456.0
Belgium,France,entry,6183084943.0
Belgium,France,exit,6183084955.0
Belgium,Germany,entry,278961023.0
Belgium,Germany,exit,3024649874.0
Belgium,Luxemburg,entry,283345004.0
Belgium,Luxemburg,exit,283344895.0
Belgium,Netherlands,entry,5882187377.2
Belgium,Netherlands,exit,6459200999.9
Belgium,Norway,entry,5200324485.0
Belgium,Norway,exit,0.0
Belgium,United Kingdom,exit,3105760000.0
Bulgaria,Bulgaria,entry,0.0
Bulgaria,Bulgaria,exit,1028643666.0
Bulgaria,Greece,entry,928505626.0
Bulgaria,Greece,exit,928505631.0
Bulgaria,North Macedonia,exit,36042249.0
Bulgaria,Romania,entry,5925357421.0
Bulgaria,Romania,exit,918481809.576
Bulgaria,Turkey,exit,1465604352.0
Croatia,Croatia,entry,703634312.0
Croatia,Croatia,exit,761950858.0
Croatia,Hungary,entry,496063194.0
Croatia,Hungary,exit,496052000.0
Croatia,Slovenia,entry,192393695.0
Croatia,Slovenia,exit,174239458.0
Czechia,Czechia,entry,146847676.0
Czechia,Czechia,exit,2119764248.0
Czechia,Germany,entry,41257370627.7
Czechia,Germany,exit,28805992795.0
Czechia,Poland,entry,147473287.0
Czechia,Poland,exit,147473287.0
Czechia,Slovakia,entry,1445179627.0
Czechia,Slovakia,exit,1270003943.0
Denmark,Denmark,entry,1276967772.0
Denmark,Germany,entry,0.0
Denmark,Germany,exit,96496656.0
Estonia,Estonia,exit,161803004.07
Estonia,Latvia,entry,55940736.455
Estonia,Latvia,exit,55940736.455
Estonia,Russia,entry,111290922.455
Estonia,Russia,exit,0.0
Finland,Russia,entry,787261293.0
France,Belgium,entry,6183084943.0
France,Belgium,exit,6183084955.0
France,France,entry,25857804648.0
France,France,exit,29278953780.0
France,Germany,entry,2104961816.0
France,Germany,exit,1008896000.0
France,Norway,entry,6489474999.0
France,Spain,entry,1822742651.0
France,Spain,exit,1775845071.0
France,Switzerland,entry,0.0
France,Switzerland,exit,5681715243.0
Germany,Austria,entry,2999693317.0
Germany,Austria,exit,4193724408.0
Germany,Belgium,entry,278961023.0
Germany,Belgium,exit,3024649874.0
Germany,Czechia,entry,30515649041.7
Germany,Czechia,exit,11524695985.0
Germany,Denmark,entry,0.0
Germany,Denmark,exit,96496656.0
Germany,France,entry,1052480908.0
Germany,France,exit,1008896000.0
Germany,Germany,entry,12833790335.32
Germany,Germany,exit,14054039986.24
Germany,Luxemburg,entry,4122514.0
Germany,Luxemburg,exit,4122519.0
Germany,Netherlands,entry,7160458203.9
Germany,Netherlands,exit,9194693159.41
Germany,Norway,entry,7474544442.6
Germany,Norway,exit,0.0
Germany,Poland,entry,5872380373.0
Germany,Poland,exit,5493390260.3
Germany,Switzerland,entry,0.0
Germany,Switzerland,exit,40637617197.8
Greece,Bulgaria,entry,928505626.0
Greece,Bulgaria,exit,928505631.0
Greece,Greece,entry,385237029.0
Greece,Greece,exit,1485557856.0
Greece,Turkey,entry,532337884.0
Greece,Turkey,exit,0.0
Hungary,Austria,entry,1677937385.0
Hungary,Austria,exit,1677937499.0
Hungary,Croatia,entry,496063194.0
Hungary,Croatia,exit,496052000.0
Hungary,Hungary,entry,670720693.0
Hungary,Hungary,exit,4777240400.0
Hungary,Romania,entry,428318809.49
Hungary,Romania,exit,469435000.0
Hungary,Serbia,exit,454996000.0
Hungary,Slovakia,entry,0.0
Hungary,Slovakia,exit,295300000.0
Hungary,Ukraine,entry,4270446000.0
Hungary,Ukraine,exit,1582793000.0
Ireland,United Kingdom,exit,1622697900.0
Italy,Austria,entry,12347498775.0
Italy,Austria,exit,12334780297.0
Italy,Italy,entry,7795541481.0
Italy,Italy,exit,31516788714.0
Italy,Libya,entry,1733468376.0
Italy,San Marino,exit,16806767.0
Italy,Slovenia,entry,0.0
Italy,Slovenia,exit,0.0
Italy,Switzerland,entry,10400709906.0
Italy,Switzerland,exit,40818350.0
Latvia,Estonia,entry,55940736.455
Latvia,Estonia,exit,55940736.455
Latvia,Lithuania,entry,0.0
Latvia,Lithuania,exit,0.0
Latvia,Russia,entry,163332.45500000002
Latvia,Russia,exit,0.0
Lithuania,Belarus,entry,1006091387.0
Lithuania,Latvia,entry,0.0
Lithuania,Latvia,exit,0.0
Lithuania,Lithuania,entry,618333273.0
Lithuania,Russia,exit,885718833.0
Luxemburg,Belgium,entry,283345004.0
Luxemburg,Belgium,exit,283344895.0
Luxemburg,Germany,entry,4122514.0
Luxemburg,Germany,exit,4122519.0
Luxemburg,Luxemburg,entry,0.0
Luxemburg,Luxemburg,exit,579561140.0
Moldavia,Romania,exit,0.0
Moldavia,Ukraine,entry,3552924792.7
Moldavia,Ukraine,exit,212664254.589
Morocco,Spain,entry,1749485927.0
Netherlands,Belgium,entry,5882187377.2
Netherlands,Belgium,exit,6459200999.9
Netherlands,Germany,entry,4335212819.2
Netherlands,Germany,exit,16558262398.11
Netherlands,Netherlands,entry,28419724561.8
Netherlands,Netherlands,exit,20010886595.2
Netherlands,United Kingdom,exit,15587624.5
North Macedonia,Bulgaria,exit,36042249.0
Norway,Belgium,entry,5200324485.0
Norway,Belgium,exit,0.0
Norway,Germany,entry,7474544442.6
Norway,Germany,exit,0.0
Poland,Czechia,entry,147545763.0
Poland,Czechia,exit,147473287.0
Poland,Germany,entry,5872380373.0
Poland,Germany,exit,5493390260.3
Poland,Poland,entry,5517845821.0
Poland,Poland,exit,12966383224.0
Portugal,Portugal,entry,3402743234.0
Portugal,Portugal,exit,1802676124.0
Portugal,Spain,entry,88849023.0
Portugal,Spain,exit,90346160.0
Romania,Bulgaria,entry,5925357421.0
Romania,Bulgaria,exit,918481809.576
Romania,Hungary,entry,428318809.49
Romania,Hungary,exit,469435000.0
Romania,Moldavia,exit,0.0
Romania,Romania,entry,3050705475.444
Romania,Romania,exit,3686095067.61
Romania,Ukraine,entry,3091185213.82
Romania,Ukraine,exit,3492329099.45
Russia,Estonia,entry,111290922.455
Russia,Estonia,exit,0.0
