fromCountryLabel,toCountryLabel,entryValue,exitValue,totalFlow
Austria,Germany,4158799499.0,4021646812.06,137152686.94000006
Austria,Hungary,3712995250.0,3713111111.0,-115861.0
Austria,Italy,21615256847.0,21615226671.0,30176.0
Austria,Slovakia,0.0,156694327712.0,-156694327712.0
Austria,Slovenia,1652118007.0,1652102104.0,15903.0
Belarus,Lithuania,2723515692.0,0.0,2723515692.0
Belarus,Ukraine,0.0,0.0,0.0
Belgium,France,8454810448.0,8454580747.0,229701.0
Belgium,Germany,874685393.365,874674720.0,10673.365000009537
Belgium,Luxemburg,713160182.0,713159960.0,222.0
Belgium,Netherlands,18233522700.5,19640386757.2,-1406864056.7000008
Belgium,Norway,13469892234.0,0.0,13469892234.0
Belgium,United Kingdom,838135497.0,838100972.0,34525.0
Bulgaria,Greece,937305452.0,938094853.0,-789401.0
Bulgaria,North Macedonia,0.0,314114701.0,-314114701.0
Bulgaria,Romania,14545894345.0,1319548710.14,13226345634.86
Bulgaria,Turkey,0.0,4424250464.0,-4424250464.0
Croatia,Hungary,1329835674.0,1330074000.0,-238326.0
Croatia,Slovenia,660962621.0,660527614.0,435007.0
Czechia,Germany,48362981122.2,70094479102.89,-21731497980.690002
Czechia,Poland,764046943.0,763683162.0,363781.0
Czechia,Slovakia,5086720337.0,5086720337.0,0.0
Denmark,Germany,6180266186.0,0.0,6180266186.0
Estonia,Latvia,713600759.25,444828334.0,268772425.25
Estonia,Russia,102918399.0,0.0,102918399.0
France,Belgium,8454810448.0,8454580747.0,229701.0
France,Germany,3381230480.0,3377280000.0,3950480.0
France,Spain,2096359336.0,2110994866.0,-14635530.0
France,Switzerland,0.0,7506030597.0,-7506030597.0
Germany,Austria,3927630702.0,6791510989.06,-2863880287.0600004
Germany,Belgium,874685393.365,874674720.0,10673.365000009537
Germany,Czechia,58871897383.2,42900527068.89,15971370314.309998
Germany,Denmark,6180266186.0,0.0,6180266186.0
Germany,France,6762460960.0,3377280000.0,3385180960.0
Germany,Luxemburg,178314738.0,177283262.2,1031475.8000000119
Germany,Netherlands,17664766364.7,32449488212.0,-14784721847.3
Germany,Norway,19973308811.9,0.0,19973308811.9
Germany,Poland,24662055372.0,24662056697.105,-1325.1049995422363
Germany,Switzerland,0.0,57176060984.0,-57176060984.0
Greece,Bulgaria,937305452.0,938094853.0,-789401.0
Greece,Turkey,1067318399.0,0.0,1067318399.0
Hungary,Austria,3712995250.0,3713111111.0,-115861.0
Hungary,Croatia,1329835674.0,1330074000.0,-238326.0
Hungary,Romania,1161348443.24,1161247000.0,101443.24000000954
Hungary,Serbia,0.0,3103590000.0,-3103590000.0
Hungary,Slovakia,1730911767.0,1731558000.0,-646233.0
Hungary,Ukraine,0.0,1178786000.0,-1178786000.0
Ireland,United Kingdom,0.0,4461087686.0,-4461087686.0
Italy,Austria,21615256847.0,21615226671.0,30176.0
Italy,San Marino,0.0,65260457.0,-65260457.0
Italy,Slovenia,0.0,0.0,0.0
Italy,Switzerland,8706679656.0,168992301.0,8537687355.0
Latvia,Estonia,713600759.25,444828334.0,268772425.25
Latvia,Lithuania,159898797.0,159898797.0,0.0
Libya,Italy,4547958934.0,0.0,4547958934.0
Lithuania,Latvia,159898797.0,159898797.0,0.0
Lithuania,Russia,0.0,2584210574.0,-2584210574.0
Luxemburg,Belgium,713160182.0,713159960.0,222.0
Luxemburg,Germany,178314738.0,177283262.2,1031475.8000000119
Moldavia,Romania,0.0,0.0,0.0
Moldavia,Ukraine,10404309193.7,1599561164.7,8804748029.0
Netherlands,Belgium,18233522700.5,19640386757.2,-1406864056.7000008
Netherlands,Germany,26019398950.964,54521893793.7,-28502494842.735996
Netherlands,United Kingdom,224064848.39999998,263391149.0,-39326300.600000024
North Macedonia,Bulgaria,0.0,314114701.0,-314114701.0
Norway,Belgium,13469892234.0,0.0,13469892234.0
Norway,France,15368821329.0,0.0,15368821329.0
Norway,Germany,19973308811.9,0.0,19973308811.9
Norway,United Kingdom,42224781290.0,0.0,42224781290.0
Poland,Czechia,763683162.0,763683162.0,0.0
Poland,Germany,24662055372.0,24662056697.105,-1325.1049995422363
Portugal,Spain,699836018.0,711642477.0,-11806459.0
Romania,Bulgaria,14545894345.0,1319548710.14,13226345634.86
Romania,Hungary,1161348443.24,1161247000.0,101443.24000000954
Romania,Moldavia,0.0,0.0,0.0
Romania,Ukraine,10022744103.28,7994382629.851,2028361473.4290009
Russia,Estonia,102918399.0,0.0,102918399.0
Russia,Finland,2239864709.0,0.0,2239864709.0
Russia,Ukraine,77875637624.822,0.0,77875637624.822
