Unnamed: 0,point_key,point_label,is_single_operator,point_tooltip,point_eic_code,control_point_type,tp_map_x,tp_map_y,point_type,commercial_type,import_from_country_key,import_from_country_label,has_virtual_point,virtual_point_key,virtual_point_label,has_data,is_planned,is_interconnection,is_import,infrastructure_key,infrastructure_label,is_cross_border,eu_crossing,is_invalid,is_macro_point,is_cam_relevant,is_pipe_in_pipe,is_cmp_relevant,id,data_set,url,mapped_name,Country,lat,lon,is_operational
387,ITP-00424,Alexandroupolis LNG,1,,?,P_P_INCOUN_IN_LNG,51.55,-67.24,LNG Entry point,Physical,,,False,,,False,True,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2ITP-00424,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Alexandroupolis,Greece,40.833,25.872,False
455,LNG-00004,OLT LNG / Livorno,0,,21Z000000000275G,O_P_INCOUN_IN_LNG,-29.75,-58.33,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00004,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Toscana,Italy,43.067,10.067,True
457,LNG-00006,Swinoujscie,0,,21Z000000000454G,O_P_INCOUN_IN_LNG,-7.91,10.01,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00006,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Swinoujscie,Poland,53.917,14.25,True
459,LNG-00008,Isle of Grain,0,,21YIG-EC-------X,O_P_INCOUN_IN_LNG_ExtEU,-79.85,-11.39,LNG Entry point ExtEU,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,NONEU,False,,False,False,False,2LNG-00008,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Isle of Grain,United Kingdom,51.45,-0.75,True
460,LNG-00010,Paldiski LNG,0,,?,P_P_INCOUN_IN_LNG,41.92,52.64,LNG Entry point,Physical,LNG,LNG,False,,,False,True,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00010,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Paldiski LNG,Estonia,59.367,24.05,False
461,LNG-00012,Barcelona,1,,21Z000000000063V,O_P_INCOUN_IN_LNG,-72.77,-66.56,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00012,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Barcelona,Spain,41.35,2.167,True
462,LNG-00013,Bilbao,0,,21Z0000000001402,O_P_INCOUN_IN_LNG,-99.23,-59.54,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00013,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Bilbao,Spain,43.333,-3.0,True
463,LNG-00014,Agia Triada,1,Revythoussa LNG Terminal is located on Revythoussa island. Agia Triada is the Entry Point in DESFA’s NGTS (Natural Gas Transmission System) and is located on the continent. It communicates with the LNG Terminal with two underwater pipelines.,21Z0000000000422,O_P_INCOUN_IN_LNG,39.16,-73.62,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00014,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Revithoussa entry point,Greece,37.95,23.55,True
464,LNG-00015,Cavarzere (Porto Levante / Adriatic LNG),0,"In the integrated management of the whole gas system, SNAM carries out some activities on the basis of an agreement with ITG (capacity allocation and management, balancing). In this context, data for Cavarzere IP are published by SNAM on behalf of ITG.",21Z000000000142Z,O_P_INCOUN_IN_LNG,-17.41774013,-52.02540398,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00015,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Rovigo LNG,Italy,45.067,12.3,True
465,LNG-00017,Zeebrugge LNG,0,,21Z0000000000082,O_P_INCOUN_IN_LNG,-66.53,-11.5,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00017,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Zeebrugge LNG,Belgium,51.333,3.2,True
466,LNG-00018,Huelva,1,,21Z000000000065R,O_P_INCOUN_IN_LNG,-119.27,-74.87,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00018,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Huelva,Spain,37.2,-6.95,True
