,geojson_name,point_label,point_type,geojson_id,tp_map_x,tp_map_y,latitude,longitude
0,Belfast,Greater Belfast,Distribution Point ExtEU,INET_N_555,-113.25,16.43,54.589,-5.911
1,Alrewas,Alrewas (WM),Distribution Point ExtEU,INET_N_514,0.0,0.0,52.73869018,-1.77561329
2,Imatra,Imatra,Cross-Border Transmission IP between EU and Non-EU (import),INET_N_386,66.75,62.12,61.1695977,28.7645463
3,Mediesu Aurit,Mediesu Aurit (RO) - Tekovo (UA),Cross-Border Transmission IP between EU and Non-EU (import),INET_N_972,36.52,-37.02,47.786743,23.1376644
4,Audley,Audley (WM),Distribution Point ExtEU,INET_N_518,0.0,0.0,53.06,-2.35
5,Blackrod,Blackrod,Distribution Point ExtEU,INET_N_538,0.0,0.0,53.5924,-2.5
6,Sakiai,Sakiai,Cross-Border Transmission IP between EU and Non-EU,INET_N_790,35.11,18.8,54.952671,23.0480199
7,Peterborough,Peterborough Eye (Tee),Distribution Point ExtEU,INET_N_511,0.0,0.0,52.62697052,-0.301506985
8,Zeebrugge,Zeebrugge IZT,Cross-Border Transmission IP between EU and ExtEU,INET_N_50,-67.33,-11.5,51.323,3.213
9,Oss,Ross (WM),Distribution Point ExtEU,INET_N_846,0.0,0.0,51.76,5.513
10,Kotlovka,Kotlovka,Cross-Border Transmission IP between EU and Non-EU (import),INET_N_785,51.15,16.93,54.716599,25.7475233
11,Hust,Shustoke,Distribution Point ExtEU,INET_N_1072,0.0,0.0,48.1734633,23.2972476
12,Zeebrugge,Zeebrugge ZPT,Cross-Border Transmission IP between EU and Non-EU (import),INET_N_50,-66.93,-11.5,51.323,3.213
13,Bacton,Bacton (IUK),Cross-Border Transmission IP between EU and ExtEU,INET_N_516,-75.45,1.17,52.8506,1.466
14,Moffat,Moffat,Cross-Border Transmission IP between EU and ExtEU,INET_N_566,-101.25,21.7,55.27762088,-3.438048755
15,Kienbaum,Kienbaum,Transmission Point,INET_N_235,0.0,0.0,52.4483075,13.9567212
16,Wardenburg,Wardenburg RG,Transmission Point,INET_N_254,-40.69,4.61,53.074963,8.171742
17,Alrewas,Alrewas (EM),Distribution Point ExtEU,INET_N_514,0.0,0.0,52.73869018,-1.77561329
18,Kyustendil,Kyustendil (BG) / Zidilovo (MK),Cross-Border Transmission IP between EU and Non-EU,INET_N_64,33.71,-63.02,42.2868817,22.6939308
19,Dunkerque,Dunkerque,Cross-Border Transmission IP between EU and Non-EU (import),INET_N_481,-70.58,-14.58,51.033134,2.194792
20,Mazara Del Vallo,Mazara del Vallo,Cross-Border Transmission IP between EU and Non-EU (import),INET_N_661,-18.28,-74.15,37.65533,12.597628
21,Passo Gries,Griespass (CH) / Passo Gries (IT),Cross-Border Transmission IP between EU and Non-EU,INET_N_776,-39.77,-45.92,46.449851,8.366838
22,Griespass,Griespass (CH) / Passo Gries (IT),Cross-Border Transmission IP between EU and Non-EU,INET_N_777,-39.77,-45.92,46.45,8.3666667
23,Isaccea,Isaccea (RO) - Orlovka (UA),Cross-Border Transmission IP between EU and Non-EU (import),INET_N_964,65.61,-51.23,45.265423,28.4607273
24,Orlovka,Isaccea (RO) - Orlovka (UA),Cross-Border Transmission IP between EU and Non-EU (import),INET_N_1066,65.61,-51.23,45.3199,28.45287
25,Bishop Auckland,Bishop Auckland,Distribution Point ExtEU,INET_N_556,0.0,0.0,54.6707702,-1.565698513
26,Ilchester,Ilchester,Distribution Point ExtEU,INET_N_485,0.0,0.0,51.002,-2.6827
27,St Fergus,St Fergus,Distribution Point ExtEU,INET_N_573,0.0,0.0,57.567885,-1.844608
28,Whitwell,Whitwell,Distribution Point ExtEU,INET_N_502,0.0,0.0,51.88346126,-0.294815399
29,Rodersdorf,Oltingue (FR) / Rodersdorf (CH),Cross-Border Transmission IP between EU and Non-EU,INET_N_441,-43.9,-38.97,47.481,7.457
30,Isaccea,Isaccea (RO) - Orlovka (UA) I,Cross-Border Transmission IP between EU and Non-EU (import),INET_N_964,65.61,-51.23,45.265423,28.4607273
31,Orlovka,Isaccea (RO) - Orlovka (UA) I,Cross-Border Transmission IP between EU and Non-EU (import),INET_N_1066,65.61,-51.23,45.3199,28.45287
32,Steinitz,Steinitz,Transmission Point,INET_N_246,-25.93,0.88,52.82964,11.112766
33,Audley,Audley (NW),Distribution Point ExtEU,INET_N_518,0.0,0.0,53.06,-2.35
34,Bacton,Bacton,Distribution Point ExtEU,INET_N_516,-75.45,1.17,52.8506,1.466
35,Oss,Ross (SW),Distribution Point ExtEU,INET_N_846,0.0,0.0,51.76,5.513
36,Cambridge,Cambridge,Distribution Point ExtEU,INET_N_505,0.0,0.0,52.0812606,0.166856789
37,Drohne,Drohne GUD / OGE,Transmission Point,INET_N_233,-40.12,-3.38,52.429729,8.354677
38,Kiskundorozsma,Kiskundorozsma (HU>RS),Cross-Border Transmission IP between EU and Non-EU,INET_N_625,22.06,-46.75,46.2730809,20.063011
39,Aberdeen,Aberdeen,Distribution Point ExtEU,INET_N_572,0.0,0.0,57.13600455,-2.379727732
40,Bathgate,Bathgate,Distribution Point ExtEU,INET_N_569,0.0,0.0,55.91941138,-3.741778958
41,Malkoclar,Strandzha (BG) / Malkoclar (TR),Cross-Border Transmission IP between EU and Non-EU,INET_N_1065,57.5,-63.6,42.041,27.018
42,Gela,Gela,Cross-Border Transmission IP between EU and Non-EU (import),INET_N_656,-9.1,-75.04,37.052698,14.269219
43,Easington,Easington,Cross-Border Transmission IP between ExtEU and Non-EU (import),INET_N_540,-82.49,7.93,53.6548,0.11978
44,Dimitrovgrad,Kalotina (BG)/ Dimitrovgrad (RS),Cross-Border Transmission IP between EU and Non-EU,INET_N_59,35.77,-60.57,42.05521,25.59
45,Slobodnica,Slobodnica- Bosanski Brod-Zenica,Cross-Border Transmission IP between EU and Non-EU,INET_N_615,26.81,-39.16,45.1566,17.9314
46,Dornum,Dornum (EPT1 & EPT2),Cross-Border Transmission IP between EU and Non-EU (import),INET_N_274,-43.95,7.71,53.66,7.404
47,Fallentor,RC Thayngen-Fallentor,Cross-Border Transmission IP between EU and Non-EU,INET_N_93,-37.84,-38.13,47.658044,8.6948726
48,Isaccea,VIP Mediesu Aurit - Isaccea (RO-UA),Cross-Border Transmission IP between EU and Non-EU (import),INET_N_964,47.11,-38.13,45.265423,28.4607273
