point_key,point_label,is_single_operator,point_tp_map_x,point_tp_map_y,from_system_label,from_infrastructure_type_label,from_country_key,from_country_label,from_bz_key,from_bz_label,from_bz_label_long,from_operator_key,from_operator_label,from_operator_long_label,from_point_key,from_point_label,from_is_cam,from_is_cmp,from_booking_platform_key,from_booking_platform_label,from_booking_platform_url,to_is_cam,to_is_cmp,to_booking_platform_key,to_booking_platform_label,to_booking_platform_url,from_tso_item_identifier,from_tso_point_label,from_direction_key,from_has_data,to_system_label,to_infrastructure_type_label,to_country_key,to_country_label,to_bz_key,to_bz_label,to_bz_label_long,to_operator_key,to_operator_label,to_operator_long_label,to_point_key,to_point_label,to_direction_key,to_has_data,to_tso_item_identifier,to_tso_point_label,valid_from,validto,last_update_date_time,is_invalid,entry_tp_ne_mo_usage,exit_tp_ne_mo_usage,id,data_set,from_region_key,to_region_key
DIS-00001,Distribution (PT),False,-128.19,-69.5,Portugal,Transmission,PT,Portugal,PT---------,Portugal,Portuguese Balancing Zone,PT-TSO-0001,REN,"REN - Gasodutos, S.A.",DIS-00001,Distribution offtakes,False,False,,,,,,,,,16ZORDGN-------W,,exit,True,Distribution,Distribution,PT,Portugal,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00001PortugalPT-TSO-0001DIS-00001exitDistribution,4,Southern Europe,Southern Europe
DIS-00003,Distribution (FR North),False,-47.48,-6.23,TRF,Transmission,FR,France,FR----------,TRF,Trading Region France,,,,,,,,,,,,,,,,,,,False,Distribution,Distribution,FR,France,,,,FR-DSO-0001,GrDF,GrDF,DIS-00003,Distribution (FR North),entry,False,,,,,Dec 30 2024  4:48PM,False,OnlyTP,,4InterconnectionsDIS-00003TRFDistributionFR-DSO-0001DIS-00003entry,4,Western Europe,Western Europe
DIS-00005,Distribution (IT),False,-20.0,-59.49,Italy,Transmission,IT,Italy,IT---------,Italy,Punto Scambio Virtuale,IT-TSO-0001,SNAM RETE GAS,Snam Rete Gas S.p.A.,DIS-00005,SRG DELIVERY TO DISTRIBUTION NETWORKS,False,False,,,,,,,,,21Y0000000000581,,exit,True,Distribution,Distribution,IT,Italy,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00005ItalyIT-TSO-0001DIS-00005exitDistribution,4,Southern Europe,Southern Europe
DIS-00013,Aggregated Distribution - H-gas (PL),False,25.49,-4.87,Distribution,Distribution,PL,Poland,,,,,,,,,,,,,,False,False,,,,,,,False,Poland H-gas,Transmission,PL,Poland,PL---------,Poland H-gas,Polish High-methane gas Balancing zone,PL-TSO-0002,GAZ-SYSTEM,GAZ-SYSTEM S.A.,DIS-00013,Aggregated Distribution - H-gas,entry,True,21Y0000000000670,,,,Dec 30 2024  4:48PM,False,Both,,4InterconnectionsDIS-00013DistributionPoland H-gasPL-TSO-0002DIS-00013entry,4,Eastern Europe,Eastern Europe
DIS-00013,Aggregated Distribution - H-gas (PL),False,25.49,-4.87,Poland H-gas,Transmission,PL,Poland,PL---------,Poland H-gas,Polish High-methane gas Balancing zone,PL-TSO-0002,GAZ-SYSTEM,GAZ-SYSTEM S.A.,DIS-00013,Aggregated distribution - H-gas,False,False,,,,,,,,,21Y0000000000670,,exit,True,Distribution,Distribution,PL,Poland,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00013Poland H-gasPL-TSO-0002DIS-00013exitDistribution,4,Eastern Europe,Eastern Europe
DIS-00015,Greater Belfast,False,-113.25,16.43,NI,Transmission,UK,United Kingdom,UK-NI------,NI,Northern Ireland Balancing Zone,UK-TSO-0002,PTL,Premier Transmission Ltd,DIS-00015,GREATER BELFAST,False,False,,,,,,,,,21Y0000000000492,,exit,True,Distribution,Distribution,UK,United Kingdom,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00015NIUK-TSO-0002DIS-00015exitDistribution,4,Western Europe,Western Europe
DIS-00016,Lisburn,False,-114.04,15.11,NI,Transmission,UK,United Kingdom,UK-NI------,NI,Northern Ireland Balancing Zone,UK-TSO-0002,PTL,Premier Transmission Ltd,DIS-00016,Lisburn,False,False,,,,,,,,,21Z0000000003956,,exit,True,Distribution,Distribution,UK,United Kingdom,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00016NIUK-TSO-0002DIS-00016exitDistribution,4,Western Europe,Western Europe
DIS-00017,PTL Stranraer,False,-109.07,19.6,NI,Transmission,UK,United Kingdom,UK-NI------,NI,Northern Ireland Balancing Zone,UK-TSO-0002,PTL,Premier Transmission Ltd,DIS-00017,STRANRAER-NI,False,False,,,,,,,,,21Z0000000003948,,exit,True,Distribution,Distribution,UK,United Kingdom,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00017NIUK-TSO-0002DIS-00017exitDistribution,4,Western Europe,Western Europe
DIS-00018,Agioi Theodoroi,False,37.53,-73.59,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00018,Agioi Theodoroi,False,False,,,,,,,,,21Z000000000403X,,exit,True,Distribution,Distribution,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00018GreeceGR-TSO-0001DIS-00018exitDistribution,4,Southern Europe,Southern Europe
DIS-00019,Alexandroupolis,False,52.12,-66.94,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00019,Alexandroupolis,False,False,,,,,,,,,21Z000000000438E,,exit,True,Distribution,Distribution,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00019GreeceGR-TSO-0001DIS-00019exitDistribution,4,Southern Europe,Southern Europe
