countryName,totalEntries,totalExits,totalFlow
Austria,15254163070.0,49875642717.0,-45770909488.0
Belarus,492617523.0,0.0,492617523.0
Belgium,16673393287.9,11457209253.3,2952964868.5999994
Bulgaria,4877566281.59,2223191759.0,2654374522.59
Croatia,556406089.0,531024188.0,25381901.0
Czechia,36015354200.0,19395740862.0,-454329832.0
Denmark,59589704.0,0.0,59589704.0
Estonia,3594412844.3999996,1165834183.7,2428578660.7
Finland,0.0,0.0,0.0
France,8145172621.0,9393911825.0,-1248739204.0
Germany,71201230071.845,72073411065.249,3317587619.4959984
Greece,414739681.0,325816996.0,88922685.0
Hungary,2393383692.31484,8106496350.4,-2867899917.6851597
Ireland,0.0,0.0,-1060316400.0
Italy,14752859398.0,10100311840.0,4629391650.0
Latvia,3897406748.3999996,1537692271.7,2359714476.7
Libya,1653715054.0,0.0,1653715054.0
Lithuania,371858088.0,371858088.0,-344633632.0
Luxemburg,170331121.0,170331057.0,64.0
Moldavia,2661288162.4,2837846156.8,2661288162.4
Morocco,0.0,0.0,0.0
Netherlands,10982434907.667,12185855024.470001,-6025406652.103
North Macedonia,0.0,139684662.0,-139684662.0
Norway,16296063521.7,0.0,16296063521.7
Poland,9473724588.0,8635515876.179,838208711.8209991
Portugal,299432108.0,337643435.0,-38211327.0
Romania,7313380580.758841,3823474317.897,3584065684.28884
Russia,28116511900.1136,344633632.0,28116511900.1136
San Marino,0.0,7666719.0,0.0
Serbia,0.0,581202000.0,0.0
Slovakia,16333100678.0,52086344106.0,-24636348378.0
Slovenia,745627862.0,767663263.0,-22035401.0
Spain,2663166265.0,1741424424.0,921741841.0
Switzerland,4637965000.0,30061852081.0,-7695888198.0
Turkey,177845370.0,1060752196.0,-882906826.0
Ukraine,24054342312.253998,9283813985.470001,8412108008.157001
United Kingdom,0.0,3349721755.4,0.0
