fromCountryLabel,toCountryLabel,entryValue,exitValue,totalFlow
Albania,Italy,3234706432.0,3537900080.0,-303193648.0
Austria,Germany,4448329380.0,1198817433.0,3249511947.0
Austria,Hungary,1649808187.0,1649808333.0,-146.0
Austria,Italy,1650286580.0,1463391260.0,186895320.0
Austria,Slovakia,0.0,12187419960.0,-12187419960.0
Austria,Slovenia,297632331.0,277170239.0,20462092.0
Belarus,Lithuania,1172948132.0,0.0,1172948132.0
Belgium,France,2042099947.0,2020337929.0,21762018.0
Belgium,Germany,9639766116.6,6309098139.0,3330667977.6000004
Belgium,Luxemburg,327116788.0,0.0,327116788.0
Belgium,Netherlands,4454369105.4,3641233871.2,813135234.1999998
Belgium,Norway,5712603332.0,0.0,5712603332.0
Belgium,United Kingdom,1302166258.0,1302883695.0,-717437.0
Bulgaria,Greece,569406664.0,638054336.13,-68647672.13
Bulgaria,North Macedonia,0.0,154536008.0,-154536008.0
Bulgaria,Romania,333484741.35,371278614.0,-37793872.649999976
Bulgaria,Serbia,0.0,2599723353.0,-2599723353.0
Bulgaria,Turkey,0.0,0.0,0.0
Croatia,Hungary,299620000.0,269525984.0,30094016.0
Croatia,Slovenia,117413195.0,130133834.0,-12720639.0
Czechia,Germany,2076119999.0,4071434139.0,-1995314140.0
Czechia,Poland,30815120.0,30635968.0,179152.0
Czechia,Slovakia,372051395.0,372051395.0,0.0
Denmark,Germany,46499280.0,60303114.0,-13803834.0
Denmark,Poland,2161676788.0,2148230645.0,13446143.0
Estonia,Finland,431027517.49,431498334.90000004,-470817.4100000262
Estonia,Latvia,0.0,0.0,0.0
Estonia,Russia,0.0,0.0,0.0
Finland,Estonia,431027517.49,431498334.90000004,-470817.4100000262
France,Belgium,2042099947.0,2020337929.0,21762018.0
France,Germany,312352000.0,312357625.0,-5625.0
France,Spain,1382252828.0,1246047258.0,136205570.0
France,Switzerland,0.0,3674281916.0,-3674281916.0
Germany,Austria,1829586209.0,1714011662.0,115574547.0
Germany,Belgium,3329245014.0,0.0,3329245014.0
Germany,Czechia,3522252177.0,9686289507.0,-6164037330.0
Germany,Denmark,46499280.0,60303114.0,-13803834.0
Germany,France,312352000.0,624715250.0,-312363250.0
Germany,Luxemburg,0.0,0.0,0.0
Germany,Netherlands,7772583772.8,13190478676.8,-5417894903.999999
Germany,Norway,7526075113.9,0.0,7526075113.9
Germany,Poland,641619004.0,641648654.88,-29650.87999999523
Germany,Russia,0.0,0.0,0.0
Germany,Switzerland,1878359777.0,8906635630.328,-7028275853.327999
Greece,Bulgaria,569406664.0,638054336.13,-68647672.13
Greece,Turkey,4374001548.0,0.0,4374001548.0
Hungary,Austria,1649808187.0,1649808333.0,-146.0
Hungary,Croatia,299620000.0,269525984.0,30094016.0
Hungary,Romania,130138245.311,99852947.857262,30285297.453738004
Hungary,Serbia,1257787000.0,48428000.0,1209359000.0
Hungary,Slovakia,50098000.0,50098000.0,0.0
Hungary,Ukraine,869019732.64,890976000.0,-21956267.360000014
Ireland,United Kingdom,277578592199.0,2610218374.0,274968373825.0
Italy,Albania,3234706432.0,3537900080.0,-303193648.0
Italy,Austria,1650286580.0,1463391260.0,186895320.0
Italy,San Marino,0.0,22478962.0,-22478962.0
Italy,Slovenia,199950900.0,180850833.0,19100067.0
Italy,Switzerland,3607122464.0,671760716.0,2935361748.0
Latvia,Estonia,0.0,0.0,0.0
Latvia,Lithuania,541462758.0,592361204.0,-50898446.0
Latvia,Russia,0.0,0.0,0.0
Libya,Italy,1031404499.0,0.0,1031404499.0
Lithuania,Latvia,541462758.0,592361204.0,-50898446.0
Lithuania,Poland,138749670.0,138749670.0,0.0
Lithuania,Russia,0.0,1204437459.0,-1204437459.0
Luxemburg,Belgium,327116788.0,0.0,327116788.0
